user_id,diners_inicials,partida_id,contr_total,mean_contr,contr/budget,category4,clust_coef,experiment
5,30,2,20,2.0,0.6666666666666666,2,2,het_dau
9,20,2,20,2.0,1.0,3,0,het_dau
10,40,2,30,3.0,0.75,3,2,het_dau
11,40,2,38,3.8,0.95,3,2,het_dau
12,60,2,35,3.5,0.5833333333333334,2,1,het_dau
13,30,3,30,3.0,1.0,3,0,het_dau
14,50,2,30,3.0,0.6,2,1,het_dau
15,20,3,19,1.9,0.95,3,0,het_dau
16,60,3,29,2.9,0.48333333333333334,1,1,het_dau
17,40,3,15,1.5,0.375,1,1,het_dau
18,40,3,25,2.5,0.625,2,2,het_dau
19,50,3,25,2.5,0.5,2,1,het_dau
26,30,5,28,2.8,0.9333333333333333,3,2,het_dau
27,40,5,14,1.4,0.35,1,1,het_dau
28,20,5,12,1.2,0.6,2,2,het_dau
29,40,5,20,2.0,0.5,2,1,het_dau
30,60,5,20,2.0,0.3333333333333333,1,1,het_dau
32,50,5,34,3.4,0.68,2,2,het_dau
44,30,8,14,1.4,0.4666666666666667,1,1,het_dau
45,20,8,20,2.0,1.0,3,2,het_dau
46,60,8,40,4.0,0.6666666666666666,2,2,het_dau
47,40,8,9,0.9,0.225,0,1,het_dau
48,50,8,28,2.8,0.56,2,1,het_dau
49,40,8,34,3.4,0.85,3,2,het_dau
56,60,10,28,2.8,0.4666666666666667,1,1,het_dau
57,20,10,16,1.6,0.8,3,0,het_dau
58,40,10,20,2.0,0.5,2,1,het_dau
59,50,10,36,3.6,0.72,2,2,het_dau
60,40,10,10,1.0,0.25,1,1,het_dau
62,30,10,14,1.4,0.4666666666666667,1,1,het_dau
68,40,12,15,1.5,0.375,1,1,het_dau
69,20,12,16,1.6,0.8,3,0,het_dau
70,50,12,35,3.5,0.7,2,2,het_dau
71,40,12,24,2.4,0.6,2,0,het_dau
72,60,12,28,2.8,0.4666666666666667,1,1,het_dau
73,30,12,15,1.5,0.5,2,1,het_dau
80,60,14,26,2.6,0.43333333333333335,1,1,het_dau
81,20,14,9,0.9,0.45,1,1,het_dau
82,40,14,18,1.8,0.45,1,1,het_dau
83,30,14,29,2.9,0.9666666666666667,3,2,het_dau
85,50,14,26,2.6,0.52,2,1,het_dau
87,40,14,18,1.8,0.45,1,1,het_dau
88,40,16,33,3.3,0.825,3,2,het_dau
92,20,16,15,1.5,0.75,3,2,het_dau
94,40,16,29,2.9,0.725,2,2,het_dau
95,30,16,15,1.5,0.5,2,1,het_dau
96,60,16,20,2.0,0.3333333333333333,1,1,het_dau
97,50,16,14,1.4,0.28,1,1,het_dau
103,60,18,26,2.6,0.43333333333333335,1,1,het_dau
105,50,18,29,2.9,0.58,2,1,het_dau
106,30,18,30,3.0,1.0,3,2,het_dau
107,20,18,20,2.0,1.0,3,0,het_dau
108,40,18,36,3.6,0.9,3,2,het_dau
109,40,18,10,1.0,0.25,1,1,het_dau
116,60,20,30,3.0,0.5,2,1,het_dau
117,20,20,7,0.7,0.35,1,1,het_dau
118,50,20,11,1.1,0.22,0,1,het_dau
119,40,20,23,2.3,0.575,2,0,het_dau
120,40,20,23,2.3,0.575,2,1,het_dau
121,30,20,30,3.0,1.0,3,0,het_dau
126,20,22,12,1.2,0.6,2,2,het_dau
129,50,22,25,2.5,0.5,2,1,het_dau
130,40,22,26,2.6,0.65,2,2,het_dau
131,40,22,20,2.0,0.5,2,1,het_dau
132,60,22,27,2.7,0.45,1,1,het_dau
133,30,22,18,1.8,0.6,2,2,het_dau
140,40,24,20,2.0,0.5,2,1,het_dau
141,40,24,12,1.2,0.3,1,1,het_dau
142,20,24,10,1.0,0.5,2,1,het_dau
144,30,24,24,2.4,0.8,3,0,het_dau
145,60,24,29,2.9,0.48333333333333334,1,1,het_dau
146,50,24,28,2.8,0.56,2,0,het_dau
150,40,26,25,2.5,0.625,2,1,het_dau
153,60,26,20,2.0,0.3333333333333333,1,1,het_dau
154,30,26,20,2.0,0.6666666666666666,2,2,het_dau
155,40,26,20,2.0,0.5,2,1,het_dau
156,50,26,20,2.0,0.4,1,1,het_dau
157,20,26,20,2.0,1.0,3,0,het_dau
164,40,28,36,3.6,0.9,3,0,het_dau
165,50,28,13,1.3,0.26,1,1,het_dau
166,30,28,20,2.0,0.6666666666666666,2,0,het_dau
167,60,28,26,2.6,0.43333333333333335,1,1,het_dau
168,20,28,14,1.4,0.7,2,0,het_dau
169,20,29,18,1.8,0.9,3,0,het_dau
170,40,28,20,2.0,0.5,2,1,het_dau
171,40,29,14,1.4,0.35,1,1,het_dau
172,40,29,22,2.2,0.55,2,1,het_dau
173,50,29,25,2.5,0.5,2,1,het_dau
174,30,29,13,1.3,0.43333333333333335,1,1,het_dau
175,60,29,30,3.0,0.5,2,1,het_dau
180,50,31,38,3.8,0.76,3,2,het_dau
183,20,31,12,1.2,0.6,2,0,het_dau
184,40,31,16,1.6,0.4,1,1,het_dau
186,40,31,26,2.6,0.65,2,0,het_dau
187,60,31,26,2.6,0.43333333333333335,1,1,het_dau
188,30,31,16,1.6,0.5333333333333333,2,1,het_dau
194,30,33,20,2.0,0.6666666666666666,2,1,het_dau
195,50,33,26,2.6,0.52,2,1,het_dau
196,40,33,10,1.0,0.25,1,1,het_dau
199,40,33,10,1.0,0.25,1,1,het_dau
200,60,33,40,4.0,0.6666666666666666,2,2,het_dau
203,20,33,18,1.8,0.9,3,2,het_dau
206,60,35,34,3.4,0.5666666666666667,2,2,het_dau
207,30,35,6,0.6,0.2,0,1,het_dau
208,40,35,14,1.4,0.35,1,1,het_dau
209,50,35,38,3.8,0.76,3,2,het_dau
212,40,35,16,1.6,0.4,1,1,het_dau
213,20,35,18,1.8,0.9,3,2,het_dau
218,60,37,24,2.4,0.4,1,1,het_dau
219,20,37,14,1.4,0.7,2,0,het_dau
220,40,37,18,1.8,0.45,1,1,het_dau
221,40,37,24,2.4,0.6,2,2,het_dau
222,30,37,14,1.4,0.4666666666666667,1,1,het_dau
224,50,37,30,3.0,0.6,2,2,het_dau
228,50,39,20,2.0,0.4,1,1,het_dau
230,20,39,4,0.4,0.2,0,1,het_dau
232,60,39,38,3.8,0.6333333333333333,2,2,het_dau
233,40,39,32,3.2,0.8,3,2,het_dau
236,30,39,30,3.0,1.0,3,0,het_dau
237,40,39,16,1.6,0.4,1,1,het_dau
242,30,41,30,3.0,1.0,3,0,het_dau
243,40,41,26,2.6,0.65,2,0,het_dau
244,60,41,30,3.0,0.5,2,1,het_dau
245,20,41,12,1.2,0.6,2,0,het_dau
246,50,41,26,2.6,0.52,2,1,het_dau
247,40,41,12,1.2,0.3,1,1,het_dau
252,20,43,10,1.0,0.5,2,0,het_dau
254,40,43,20,2.0,0.5,2,1,het_dau
256,30,43,30,3.0,1.0,3,0,het_dau
257,50,43,22,2.2,0.44,1,1,het_dau
258,60,43,16,1.6,0.26666666666666666,1,1,het_dau
259,40,43,22,2.2,0.55,2,1,het_dau
265,40,45,30,3.0,0.75,3,2,het_dau
267,60,45,24,2.4,0.4,1,1,het_dau
268,50,45,24,2.4,0.48,1,1,het_dau
269,40,45,24,2.4,0.6,2,2,het_dau
270,30,45,20,2.0,0.6666666666666666,2,0,het_dau
271,20,45,8,0.8,0.4,1,1,het_dau
289,40,49,18,1.8,0.45,1,1,het_dau
291,50,49,30,3.0,0.6,2,1,het_dau
292,60,49,24,2.4,0.4,1,1,het_dau
293,30,49,24,2.4,0.8,3,0,het_dau
294,20,49,20,2.0,1.0,3,0,het_dau
296,40,49,26,2.6,0.65,2,2,het_dau
302,50,51,28,2.8,0.56,2,0,het_dau
303,40,51,28,2.8,0.7,2,0,het_dau
304,20,51,0,0.0,0.0,0,1,het_dau
305,40,51,20,2.0,0.5,2,1,het_dau
306,30,51,10,1.0,0.3333333333333333,1,1,het_dau
307,60,51,36,3.6,0.6,2,1,het_dau
308,60,52,26,2.6,0.43333333333333335,1,1,het_dau
309,50,52,26,2.6,0.52,2,1,het_dau
310,30,52,18,1.8,0.6,2,1,het_dau
311,20,52,20,2.0,1.0,3,2,het_dau
312,40,52,24,2.4,0.6,2,1,het_dau
313,40,52,12,1.2,0.3,1,1,het_dau
314,60,53,24,2.4,0.4,1,1,het_dau
315,30,53,4,0.4,0.13333333333333333,0,1,het_dau
316,20,53,20,2.0,1.0,3,2,het_dau
317,50,53,22,2.2,0.44,1,1,het_dau
318,40,53,30,3.0,0.75,3,2,het_dau
319,40,53,26,2.6,0.65,2,2,het_dau
1,30,1,22,2.2,0.7333333333333333,2,2,street
2,40,1,10,1.0,0.25,1,1,street
3,40,1,8,0.8,0.2,0,1,street
4,20,1,20,2.0,1.0,3,2,street
5,60,1,32,3.2,0.5333333333333333,2,1,street
6,50,1,30,3.0,0.6,2,2,street
7,40,2,14,1.4,0.35,1,1,street
8,30,2,16,1.6,0.5333333333333333,2,0,street
9,20,2,18,1.8,0.9,3,0,street
10,40,2,18,1.8,0.45,1,1,street
11,60,2,34,3.4,0.5666666666666667,2,1,street
12,50,2,26,2.6,0.52,2,1,street
13,60,3,28,2.8,0.4666666666666667,1,1,street
14,20,3,12,1.2,0.6,2,2,street
15,40,3,14,1.4,0.35,1,1,street
16,50,3,26,2.6,0.52,2,1,street
17,40,3,20,2.0,0.5,2,1,street
18,30,3,18,1.8,0.6,2,2,street
20,60,4,22,2.2,0.36666666666666664,1,1,street
21,50,4,12,1.2,0.24,0,1,street
22,30,4,12,1.2,0.4,1,1,street
23,20,4,20,2.0,1.0,3,0,street
24,40,4,28,2.8,0.7,2,2,street
25,40,4,28,2.8,0.7,2,2,street
26,40,5,24,2.4,0.6,2,0,street
27,50,5,26,2.6,0.52,2,2,street
28,30,5,26,2.6,0.8666666666666667,3,0,street
29,40,5,24,2.4,0.6,2,1,street
30,20,5,6,0.6,0.3,1,1,street
31,60,5,16,1.6,0.26666666666666666,1,1,street
32,30,6,24,2.4,0.8,3,2,street
