user_id,diners_inicials,partida_id,contr_total,mean_contr,contr/budget,category,category4,clust_coef,experiment,bin_ed
1,40,1,28,2.8,0.7,2,2,1,hom_dau,0
2,40,1,26,2.6,0.65,1,2,0,hom_dau,0
3,40,1,12,1.2,0.3,0,1,0,hom_dau,0
6,40,1,24,2.4,0.6,1,2,1,hom_dau,0
7,40,1,14,1.4,0.35,1,1,0,hom_dau,0
8,40,1,27,2.7,0.675,2,2,1,hom_dau,0
20,40,4,20,2.0,0.5,1,2,0,hom_dau,0
21,40,4,23,2.3,0.575,1,2,1,hom_dau,1
22,40,4,23,2.3,0.575,1,2,1,hom_dau,1
23,40,4,14,1.4,0.35,1,1,0,hom_dau,0
24,40,4,17,1.7,0.425,1,1,0,hom_dau,0
25,40,4,27,2.7,0.675,2,2,1,hom_dau,1
31,40,6,17,1.7,0.425,1,1,0,hom_dau,0
33,40,6,19,1.9,0.475,1,1,1,hom_dau,0
34,40,6,19,1.9,0.475,1,1,0,hom_dau,1
35,40,6,23,2.3,0.575,1,2,1,hom_dau,1
36,40,7,19,1.9,0.475,1,1,0,hom_dau,1
37,40,6,25,2.5,0.625,1,2,1,hom_dau,1
38,40,7,22,2.2,0.55,1,2,0,hom_dau,0
39,40,6,29,2.9,0.725,2,2,1,hom_dau,0
40,40,7,7,0.7,0.175,0,0,0,hom_dau,0
41,40,7,23,2.3,0.575,1,2,1,hom_dau,0
42,40,7,23,2.3,0.575,1,2,0,hom_dau,0
43,40,7,18,1.8,0.45,1,1,0,hom_dau,0
50,40,9,13,1.3,0.325,0,1,0,hom_dau,1
51,40,9,28,2.8,0.7,2,2,0,hom_dau,1
52,40,9,17,1.7,0.425,1,1,0,hom_dau,1
53,40,9,25,2.5,0.625,1,2,1,hom_dau,1
54,40,9,17,1.7,0.425,1,1,0,hom_dau,1
55,40,9,29,2.9,0.725,2,2,1,hom_dau,1
61,40,11,17,1.7,0.425,1,1,0,hom_dau,1
63,40,11,15,1.5,0.375,1,1,0,hom_dau,0
64,40,11,19,1.9,0.475,1,1,0,hom_dau,0
65,40,11,21,2.1,0.525,1,2,0,hom_dau,1
66,40,11,20,2.0,0.5,1,2,0,hom_dau,0
67,40,11,31,3.1,0.775,2,3,1,hom_dau,1
74,40,13,20,2.0,0.5,1,2,0,hom_dau,1
75,40,13,20,2.0,0.5,1,2,0,hom_dau,1
76,40,13,15,1.5,0.375,1,1,0,hom_dau,0
77,40,13,33,3.3,0.825,2,3,1,hom_dau,0
78,40,13,22,2.2,0.55,1,2,0,hom_dau,1
79,40,13,19,1.9,0.475,1,1,0,hom_dau,1
84,40,15,24,2.4,0.6,1,2,0,hom_dau,1
86,40,15,29,2.9,0.725,2,2,1,hom_dau,1
89,40,15,16,1.6,0.4,1,1,0,hom_dau,1
90,40,15,23,2.3,0.575,1,2,1,hom_dau,0
91,40,15,11,1.1,0.275,0,1,0,hom_dau,0
93,40,15,19,1.9,0.475,1,1,0,hom_dau,1
98,40,17,6,0.6,0.15,0,0,0,hom_dau,1
99,40,17,31,3.1,0.775,2,3,1,hom_dau,0
100,40,17,25,2.5,0.625,1,2,1,hom_dau,1
101,40,17,20,2.0,0.5,1,2,1,hom_dau,1
102,40,17,25,2.5,0.625,1,2,1,hom_dau,1
104,40,17,20,2.0,0.5,1,2,0,hom_dau,1
110,40,19,10,1.0,0.25,0,1,0,hom_dau,1
111,40,19,20,2.0,0.5,1,2,0,hom_dau,1
112,40,19,20,2.0,0.5,1,2,0,hom_dau,0
113,40,19,18,1.8,0.45,1,1,0,hom_dau,1
114,40,19,29,2.9,0.725,2,2,1,hom_dau,1
115,40,19,27,2.7,0.675,2,2,1,hom_dau,0
122,40,21,25,2.5,0.625,1,2,1,hom_dau,1
123,40,21,21,2.1,0.525,1,2,0,hom_dau,1
124,40,21,28,2.8,0.7,2,2,1,hom_dau,0
125,40,21,21,2.1,0.525,1,2,0,hom_dau,1
127,40,21,14,1.4,0.35,1,1,0,hom_dau,1
128,40,21,17,1.7,0.425,1,1,0,hom_dau,1
134,40,23,26,2.6,0.65,1,2,1,hom_dau,0
135,40,23,32,3.2,0.8,2,3,1,hom_dau,0
136,40,23,25,2.5,0.625,1,2,1,hom_dau,1
137,40,23,34,3.4,0.85,2,3,1,hom_dau,1
138,40,23,30,3.0,0.75,2,3,1,hom_dau,0
139,40,23,34,3.4,0.85,2,3,1,hom_dau,1
143,40,25,20,2.0,0.5,1,2,0,hom_dau,1
147,40,25,21,2.1,0.525,1,2,0,hom_dau,0
148,40,25,21,2.1,0.525,1,2,0,hom_dau,1
149,40,25,32,3.2,0.8,2,3,1,hom_dau,1
151,40,25,21,2.1,0.525,1,2,0,hom_dau,1
152,40,25,22,2.2,0.55,1,2,0,hom_dau,0
158,40,27,29,2.9,0.725,2,2,1,hom_dau,0
159,40,27,27,2.7,0.675,2,2,1,hom_dau,0
160,40,27,29,2.9,0.725,2,2,1,hom_dau,1
161,40,27,18,1.8,0.45,1,1,0,hom_dau,0
162,40,27,19,1.9,0.475,1,1,0,hom_dau,1
163,40,27,22,2.2,0.55,1,2,0,hom_dau,0
176,40,30,30,3.0,0.75,2,3,1,hom_dau,0
177,40,30,14,1.4,0.35,1,1,0,hom_dau,1
178,40,30,22,2.2,0.55,1,2,0,hom_dau,1
179,40,30,22,2.2,0.55,1,2,0,hom_dau,1
181,40,30,20,2.0,0.5,1,2,0,hom_dau,0
182,40,30,24,2.4,0.6,1,2,0,hom_dau,0
185,40,32,12,1.2,0.3,0,1,0,hom_dau,0
189,40,32,32,3.2,0.8,2,3,1,hom_dau,1
190,40,32,22,2.2,0.55,1,2,0,hom_dau,0
191,40,32,24,2.4,0.6,1,2,0,hom_dau,0
192,40,32,20,2.0,0.5,1,2,0,hom_dau,0
193,40,32,22,2.2,0.55,1,2,1,hom_dau,0
197,40,34,18,1.8,0.45,1,1,0,hom_dau,1
198,40,34,22,2.2,0.55,1,2,0,hom_dau,0
201,40,34,28,2.8,0.7,2,2,1,hom_dau,0
202,40,34,18,1.8,0.45,1,1,0,hom_dau,0
204,40,34,16,1.6,0.4,1,1,0,hom_dau,1
205,40,34,28,2.8,0.7,2,2,1,hom_dau,0
210,40,36,22,2.2,0.55,1,2,1,hom_dau,0
211,40,36,22,2.2,0.55,1,2,1,hom_dau,0
214,40,36,16,1.6,0.4,1,1,0,hom_dau,0
215,40,36,20,2.0,0.5,1,2,0,hom_dau,0
216,40,36,28,2.8,0.7,2,2,1,hom_dau,1
217,40,36,18,1.8,0.45,1,1,0,hom_dau,1
223,40,38,22,2.2,0.55,1,2,1,hom_dau,0
225,40,38,34,3.4,0.85,2,3,1,hom_dau,0
226,40,38,10,1.0,0.25,0,1,0,hom_dau,0
227,40,38,16,1.6,0.4,1,1,0,hom_dau,1
229,40,38,18,1.8,0.45,1,1,0,hom_dau,1
231,40,38,27,2.7,0.675,2,2,1,hom_dau,0
234,40,40,16,1.6,0.4,1,1,0,hom_dau,0
235,40,40,22,2.2,0.55,1,2,0,hom_dau,0
238,40,40,18,1.8,0.45,1,1,0,hom_dau,1
239,40,40,28,2.8,0.7,2,2,1,hom_dau,1
240,40,40,32,3.2,0.8,2,3,1,hom_dau,0
241,40,40,16,1.6,0.4,1,1,0,hom_dau,1
248,40,42,12,1.2,0.3,0,1,0,hom_dau,1
249,40,42,32,3.2,0.8,2,3,1,hom_dau,0
250,40,42,16,1.6,0.4,1,1,1,hom_dau,1
251,40,42,30,3.0,0.75,2,3,1,hom_dau,0
253,40,42,18,1.8,0.45,1,1,1,hom_dau,0
255,40,42,20,2.0,0.5,1,2,0,hom_dau,0
260,40,44,20,2.0,0.5,1,2,0,hom_dau,1
261,40,44,22,2.2,0.55,1,2,1,hom_dau,0
262,40,44,18,1.8,0.45,1,1,0,hom_dau,0
263,40,44,20,2.0,0.5,1,2,0,hom_dau,0
264,40,44,24,2.4,0.6,1,2,1,hom_dau,0
266,40,44,20,2.0,0.5,1,2,0,hom_dau,1
272,40,46,30,3.0,0.75,2,3,1,hom_dau,0
273,40,46,26,2.6,0.65,1,2,1,hom_dau,0
274,40,46,32,3.2,0.8,2,3,1,hom_dau,1
275,40,46,14,1.4,0.35,1,1,0,hom_dau,0
276,40,46,14,1.4,0.35,1,1,0,hom_dau,1
277,40,46,10,1.0,0.25,0,1,0,hom_dau,1
278,40,47,22,2.2,0.55,1,2,1,hom_dau,1
279,40,47,20,2.0,0.5,1,2,0,hom_dau,1
280,40,47,22,2.2,0.55,1,2,0,hom_dau,0
281,40,47,16,1.6,0.4,1,1,0,hom_dau,1
282,40,47,30,3.0,0.75,2,3,1,hom_dau,0
283,40,47,20,2.0,0.5,1,2,0,hom_dau,1
284,40,48,18,1.8,0.45,1,1,0,hom_dau,1
285,40,48,20,2.0,0.5,1,2,0,hom_dau,1
286,40,48,22,2.2,0.55,1,2,0,hom_dau,1
287,40,48,22,2.2,0.55,1,2,0,hom_dau,1
288,40,48,14,1.4,0.35,1,1,0,hom_dau,1
290,40,48,28,2.8,0.7,2,2,1,hom_dau,1
295,40,50,20,2.0,0.5,1,2,0,hom_dau,0
297,40,50,26,2.6,0.65,1,2,1,hom_dau,1
298,40,50,30,3.0,0.75,2,3,1,hom_dau,1
299,40,50,16,1.6,0.4,1,1,0,hom_dau,1
300,40,50,24,2.4,0.6,1,2,1,hom_dau,0
301,40,50,18,1.8,0.45,1,1,0,hom_dau,1
