"id","num_partida","data_creacio","data_inicialitzacio","data_finalitzacio","estat","classe","num_rondes","ronda_actual","data_fi_ronda","usuaris_registrats","guanyen_igualment","diners_heterogenis","objectiu_aconseguit","comentari","partida_024"
1,1,"2015-12-12 11:11:38.884637","2015-12-12 11:15:10.868141","2015-12-12 11:19:36.780852","ACABADA","DAU",10,11,"2015-12-12 11:20:21.610234",6,0,0,1,"",0
2,2,"2015-12-12 11:15:50.746373","2015-12-12 11:17:03.300325","2015-12-12 11:20:41.525594","ACABADA","DAU",10,11,"2015-12-12 11:21:26.423229",6,0,1,1,"",0
3,3,"2015-12-12 11:21:39.584916","2015-12-12 11:25:26.654133","2015-12-12 11:29:24.781493","ACABADA","DAU",10,11,"2015-12-12 11:30:09.731410",6,1,1,1,"",0
4,4,"2015-12-12 11:26:24.227061","2015-12-12 11:41:35.047236","2015-12-12 11:45:43.159005","ACABADA","DAU",10,11,"2015-12-12 11:46:27.996146",6,0,0,1,"",0
5,5,"2015-12-12 11:42:20.895097","2015-12-12 11:50:35.305536","2015-12-12 11:54:41.916841","ACABADA","DAU",10,11,"2015-12-12 11:55:26.867046",6,0,1,1,"",0
6,6,"2015-12-12 11:53:24.934439","2015-12-12 12:03:54.342282","2015-12-12 12:08:14.419372","ACABADA","DAU",10,11,"2015-12-12 12:08:59.312042",6,0,0,1,"",0
7,7,"2015-12-12 12:05:19.485796","2015-12-12 12:08:32.486795","2015-12-12 12:12:46.021800","ACABADA","DAU",10,11,"2015-12-12 12:13:30.960206",6,0,0,1,"",0
8,8,"2015-12-12 12:14:40.544093","2015-12-12 12:26:50.229100","2015-12-12 12:30:40.090887","ACABADA","DAU",10,11,"2015-12-12 12:31:25.005040",6,0,1,1,"",0
9,9,"2015-12-12 12:29:24.260671","2015-12-12 12:33:21.187910","2015-12-12 12:37:03.888855","ACABADA","DAU",10,11,"2015-12-12 12:37:48.823219",6,0,0,1,"",0
10,10,"2015-12-12 12:34:47.531213","2015-12-12 12:47:27.751857","2015-12-12 12:51:37.682890","ACABADA","DAU",10,11,"2015-12-12 12:52:22.630558",6,0,1,1,"",0
11,11,"2015-12-12 12:53:55.649080","2015-12-12 13:01:04.768779","2015-12-12 13:05:03.197316","ACABADA","DAU",10,11,"2015-12-12 13:05:48.111064",6,0,0,1,"",0
12,12,"2015-12-12 13:07:51.234645","2015-12-12 13:12:01.843225","2015-12-12 13:15:47.243299","ACABADA","DAU",10,11,"2015-12-12 13:16:32.190481",6,0,1,1,"",0
13,13,"2015-12-12 15:18:41.591135","2015-12-12 15:29:36.153083","2015-12-12 15:33:02.125946","ACABADA","DAU",10,11,"2015-12-12 15:33:47.072199",6,0,0,1,"",0
14,14,"2015-12-12 15:30:06.191937","2015-12-12 15:39:07.860196","2015-12-12 15:43:08.738232","ACABADA","DAU",10,11,"2015-12-12 15:43:53.656703",6,0,1,1,"",0
15,15,"2015-12-12 15:39:51.015756","2015-12-12 15:42:17.198218","2015-12-12 15:46:15.015577","ACABADA","DAU",10,11,"2015-12-12 15:46:59.948893",6,0,0,1,"",0
16,16,"2015-12-12 15:42:41.532380","2015-12-12 15:46:44.809137","2015-12-12 15:50:55.633599","ACABADA","DAU",10,11,"2015-12-12 15:51:40.563785",6,0,1,1,"",0
17,17,"2015-12-12 15:48:04.060812","2015-12-12 15:53:36.497782","2015-12-12 15:57:22.845758","ACABADA","DAU",10,11,"2015-12-12 15:58:07.734104",6,0,0,1,"",0
18,18,"2015-12-12 15:53:49.814107","2015-12-12 16:09:07.173630","2015-12-12 16:13:15.951590","ACABADA","DAU",10,11,"2015-12-12 16:14:00.881153",6,0,1,1,"",0
19,19,"2015-12-12 16:10:05.223625","2015-12-12 16:32:12.489483","2015-12-12 16:36:00.901892","ACABADA","DAU",10,11,"2015-12-12 16:36:45.852924",6,0,0,1,"",0
