"id","num_ronda","bucket_inici_ronda","bucket_final_ronda","temps_inici_ronda","temps_final_ronda","partida_id","calculada"
1,1,120,102,"2015-12-12 11:15:35.868141","2015-12-12 11:15:47.496505",1,1
2,2,102,82,"2015-12-12 11:16:02.496505","2015-12-12 11:16:13.482420",1,1
3,3,82,61,"2015-12-12 11:16:28.482420","2015-12-12 11:16:40.223503",1,1
4,4,61,49,"2015-12-12 11:16:55.223503","2015-12-12 11:17:07.851955",1,1
5,5,49,36,"2015-12-12 11:17:22.851955","2015-12-12 11:17:33.835103",1,1
6,6,36,21,"2015-12-12 11:17:48.835103","2015-12-12 11:18:03.103477",1,1
7,7,21,8,"2015-12-12 11:18:18.103477","2015-12-12 11:18:27.032402",1,1
8,8,8,1,"2015-12-12 11:18:42.032402","2015-12-12 11:18:53.585914",1,1
9,9,1,-5,"2015-12-12 11:19:08.585914","2015-12-12 11:19:13.116412",1,1
10,10,-5,-11,"2015-12-12 11:19:28.116412","2015-12-12 11:19:36.610234",1,1
11,1,120,101,"2015-12-12 11:17:28.300325","2015-12-12 11:17:34.520696",2,1
12,2,101,78,"2015-12-12 11:17:49.520696","2015-12-12 11:17:53.724579",2,1
13,3,78,57,"2015-12-12 11:18:08.724579","2015-12-12 11:18:16.268780",2,1
14,4,57,34,"2015-12-12 11:18:31.268780","2015-12-12 11:18:35.632214",2,1
15,5,34,16,"2015-12-12 11:18:50.632214","2015-12-12 11:18:59.151778",2,1
16,6,16,0,"2015-12-12 11:19:14.151778","2015-12-12 11:19:20.183937",2,1
17,7,0,-13,"2015-12-12 11:19:35.183937","2015-12-12 11:19:40.449211",2,1
18,8,-13,-25,"2015-12-12 11:19:55.449211","2015-12-12 11:20:00.652349",2,1
19,9,-25,-43,"2015-12-12 11:20:15.652349","2015-12-12 11:20:20.441038",2,1
20,10,-43,-53,"2015-12-12 11:20:35.441038","2015-12-12 11:20:41.423229",2,1
21,1,120,103,"2015-12-12 11:25:51.654133","2015-12-12 11:26:01.659950",3,1
22,2,103,88,"2015-12-12 11:26:16.659950","2015-12-12 11:26:29.192402",3,1
23,3,88,70,"2015-12-12 11:26:44.192402","2015-12-12 11:26:48.897186",3,1
24,4,70,49,"2015-12-12 11:27:03.897186","2015-12-12 11:27:13.918638",3,1
25,5,49,31,"2015-12-12 11:27:28.918638","2015-12-12 11:27:33.766596",3,1
26,6,31,13,"2015-12-12 11:27:48.766596","2015-12-12 11:27:56.253975",3,1
27,7,13,-1,"2015-12-12 11:28:11.253975","2015-12-12 11:28:15.659336",3,1
28,8,-1,-8,"2015-12-12 11:28:30.659336","2015-12-12 11:28:39.646749",3,1
29,9,-8,-18,"2015-12-12 11:28:54.646749","2015-12-12 11:29:05.102047",3,1
30,10,-18,-23,"2015-12-12 11:29:20.102047","2015-12-12 11:29:24.731410",3,1
31,1,120,109,"2015-12-12 11:42:00.047236","2015-12-12 11:42:18.072555",4,1
32,2,109,91,"2015-12-12 11:42:33.072555","2015-12-12 11:42:43.355652",4,1
33,3,91,74,"2015-12-12 11:42:58.355652","2015-12-12 11:43:06.785968",4,1
34,4,74,65,"2015-12-12 11:43:21.785968","2015-12-12 11:43:28.300983",4,1
35,5,65,52,"2015-12-12 11:43:43.300983","2015-12-12 11:43:48.056314",4,1
36,6,52,40,"2015-12-12 11:44:03.056314","2015-12-12 11:44:09.956455",4,1
37,7,40,26,"2015-12-12 11:44:24.956455","2015-12-12 11:44:30.074528",4,1
38,8,26,20,"2015-12-12 11:44:45.074528","2015-12-12 11:44:49.940267",4,1
39,9,20,8,"2015-12-12 11:45:04.940267","2015-12-12 11:45:13.038336",4,1
40,10,8,-4,"2015-12-12 11:45:28.038336","2015-12-12 11:45:42.996146",4,1
