"user_id","nickname","codi_postal","genere","rang_edat","nivell_estudis","prfinal0","prfinal1","prfinal2","prfinal3","prfinal4","prfinal5","prfinal6","prfinal7","prfinal8","prfinal9","prfinal10","prfinal11","prfinal12","prfinal13","data_creacio","data_finalitzacio","acabat","data_registre","diners_inicials","diners_actuals","check_1","check_2","check_3","partida_id","is_robot","num_jugador","prfinal14","prfinal15","guany_final","num_seleccions","sorteig"
1,"Nitahorse","08203","d",28,"r4","","r1","r1","r4","r2","r2","r1","r1","r1","r2","r2","r4","r3","r2","2015-12-12 10:54:56.666328","2015-12-12 11:24:25.525823",1,"2015-12-12 11:12:07.887762",40,12,"true","false","false",1,0,3,"r3","r2",12,10,1
2,"Max demoran","08028","h",45,"r4","","r1","r1","r1","r2","r3","r1","r1","r2","r2","r2","r3","r1","r2","2015-12-12 11:10:35.919172","2015-12-12 11:24:11.351686",1,"2015-12-12 11:12:41.668566",40,14,"true","false","false",1,0,6,"r2","r2",14,10,1
3,"Ellas","08027","h",15,"r2","","r1","r1","r2","r3","r1","r1","r2","r1","r1","r2","r3","r3","r2","2015-12-12 11:10:39.550620","2015-12-12 11:24:03.732214",1,"2015-12-12 11:12:32.724448",40,28,"true","false","false",1,0,2,"r4","r4",28,10,1
4,"AL","08921","h",53,"r4","","","","","","","","","","","","","","","2015-12-12 11:11:05.016648","",0,"",0,0,"true","false","true",0,0,0,"","",0,0,1
5,"Peripam","08440","h",24,"r6","","r1","r2","r2","r3","r3","r1","r1","r1","r3","r2","r3","r3","r2","2015-12-12 11:11:17.292067","2015-12-12 11:25:48.133030",1,"2015-12-12 11:16:10.346103",30,10,"true","false","false",2,0,6,"r3","r4",10,10,1
6,"Pato","08027","d",14,"r2","","r1","r2","r2","r3","r3","r1","r3","r1","r2","r2","r3","r3","r3","2015-12-12 11:12:04.799270","2015-12-12 11:23:39.378448",1,"2015-12-12 11:14:50.121337",40,16,"true","false","false",1,0,1,"r1","r3",16,10,1
7,"Carbu ","08016","h",14,"r2","","r1","r2","r2","r3","r3","r1","r2","r1","r1","r2","r3","r3","r1","2015-12-12 11:12:09.856312","2015-12-12 11:24:57.727324",1,"2015-12-12 11:14:57.016030",40,26,"true","false","false",1,0,4,"r3","r4",26,10,1
8,"Júlia","08041","d",16,"r4","","r1","r3","r1","r3","r3","r1","r1","r1","r2","r2","r3","r3","r2","2015-12-12 11:12:10.120276","2015-12-12 11:23:19.476899",1,"2015-12-12 11:13:46.605264",40,13,"true","false","false",1,0,5,"r2","r3",13,10,1
9,"Lau","08739","d",25,"r4","","r1","r2","r1","r2","r3","r3","r1","r2","r2","r2","r1","r3","r2","2015-12-12 11:12:10.923382","2015-12-12 11:23:18.388273",1,"2015-12-12 11:16:05.775073",20,0,"true","false","false",2,0,3,"r2","r3",0,10,1
10,"Sea","08027","d",15,"r2","","r1","r1","r2","r3","r3","r3","r1","r3","r2","r2","r4","r4","r3","2015-12-12 11:12:20.936528","2015-12-12 11:25:42.640671",1,"2015-12-12 11:16:25.513434",40,10,"true","false","false",2,0,4,"r4","r3",10,10,1
11,"África","08016","d",16,"r3","","r1","r2","r2","r3","r3","r3","r1","r1","r3","r2","r1","r3","r3","2015-12-12 11:13:03.877981","2015-12-12 11:25:22.601452",1,"2015-12-12 11:16:16.317454",40,2,"true","false","false",2,0,2,"r2","r2",2,10,1
12,"Sara","08760","d",25,"r6","","r1","r1","r1","r2","r1","r2","r1","r2","r2","r2","r3","r3","r2","2015-12-12 11:13:14.798016","2015-12-12 11:25:12.857838",1,"2015-12-12 11:16:22.525200",60,25,"true","false","true",2,0,5,"r1","r3",25,10,1
13,"Amnesia","08690","h",35,"r5","","r1","r1","r1","r3","r3","r3","r2","r2","r2","r2","r4","r4","r4","2015-12-12 11:13:43.373613","2015-12-12 11:33:49.931769",1,"2015-12-12 11:21:50.754231",30,0,"true","false","false",3,0,5,"r3","r2",0,10,1
14,"Xerox","08783","h",25,"r5","","r1","r1","r1","r3","r3","r3","r1","r2","r1","r2","r3","r3","r2","2015-12-12 11:14:00.272294","2015-12-12 11:23:59.120743",1,"2015-12-12 11:16:40.745925",50,20,"true","false","false",2,0,1,"r2","r3",20,10,1
15,"Ingridssi","08783","d",25,"r5","","r1","r1","r4","r2","r3","r1","r1","r1","r1","r2","r3","r3","r1","2015-12-12 11:14:03.614429","2015-12-12 11:31:52.757395",1,"2015-12-12 11:21:50.243505",20,1,"true","false","false",3,0,6,"r4","r2",1,10,1
16,"Flor","08027","d",15,"r2","","r1","r2","r2","r3","r3","r2","r3","r1","r1","r2","r3","r3","r3","2015-12-12 11:16:36.167797","2015-12-12 11:34:10.961721",1,"2015-12-12 11:21:51.872256",60,31,"true","false","false",3,0,4,"r3","r3",31,10,1
17,"PH","08921","h",53,"r4","","r1","r2","r2","r3","r3","r3","r3","r1","r3","r2","r3","r3","r2","2015-12-12 11:19:47.304756","2015-12-12 11:33:13.764391",1,"2015-12-12 11:21:52.338780",40,25,"true","false","false",3,0,3,"r2","r3",25,10,1
18,"Janis ","08027","d",25,"r3","","r1","r2","r1","r3","r3","r3","r1","r1","r3","r2","r3","r3","r2","2015-12-12 11:22:37.056436","2015-12-12 11:32:03.423651",1,"2015-12-12 11:25:15.636768",40,15,"true","false","false",3,0,2,"r3","r2",15,10,1
19,"Totales","08901","h",36,"r6","","r2","r1","r2","r3","r3","r3","r1","r2","r1","r2","r1","r3","r2","2015-12-12 11:22:46.751889","2015-12-12 11:31:08.440866",1,"2015-12-12 11:25:10.274570",50,25,"true","false","false",3,0,1,"r1","r4",25,10,1
20,"Lionel","08027","h",23,"r4","","r1","r1","r2","r3","r3","r1","r1","r1","r1","r2","r3","r3","r2","2015-12-12 11:23:03.875131","2015-12-12 11:51:35.411954",1,"2015-12-12 11:26:37.676412",40,20,"true","false","false",4,0,6,"r3","r1",20,10,1
21,"Deiv82","08030","h",33,"r6","","r1","r1","r2","r2","r2","r1","r1","r1","r3","r2","r3","r3","r2","2015-12-12 11:25:56.898479","2015-12-12 11:48:28.851632",1,"2015-12-12 11:32:05.633401",40,17,"true","false","false",4,0,2,"r3","r2",17,10,1
22,"Taniarole","08042","h",33,"r6","","r3","r1","r2","r2","r2","r1","r1","r2","r2","r2","r1","r3","r2","2015-12-12 11:27:45.241263","2015-12-12 11:50:31.608653",1,"2015-12-12 11:32:40.958812",40,17,"true","false","false",4,0,3,"r1","r4",17,10,1
23,"mfazarias14","08027","h",15,"r3","","r1","r1","r4","r3","r3","r1","r1","r1","r1","r2","r3","r3","r2","2015-12-12 11:34:44.153726","2015-12-12 11:50:00.631378",1,"2015-12-12 11:36:48.425861",40,26,"true","false","false",4,0,1,"r2","r4",26,10,1
24,"Muy","08402","h",33,"r5","","r3","r1","r2","r1","r3","r1","r1","r1","r2","r1","r1","r3","r2","2015-12-12 11:37:39.826950","2015-12-12 11:51:23.998296",1,"2015-12-12 11:41:17.742734",40,23,"true","false","false",4,0,5,"r1","r3",23,10,1
25,"Psicóloga","08600","d",22,"r6","","r1","r2","r1","r3","r3","r1","r3","r1","r1","r2","r3","r3","r1","2015-12-12 11:37:58.523116","2015-12-12 11:48:14.636080",1,"2015-12-12 11:40:04.080566",40,13,"true","false","false",4,0,4,"r2","r2",13,10,1
26,"Albertgc3","08600","h",23,"r5","","r1","r2","r4","r2","r1","r1","r2","r1","r3","r2","r3","r3","r2","2015-12-12 11:38:48.795744","2015-12-12 11:59:03.768841",1,"2015-12-12 11:42:21.157807",30,2,"true","false","false",5,0,3,"r2","r3",2,10,1
27,"A patito","08402","d",31,"r6","","r3","r1","r1","r3","r3","r1","r1","r1","r1","r2","r3","r3","r2","2015-12-12 11:39:05.226395","2015-12-12 11:59:05.642596",1,"2015-12-12 11:42:26.699879",40,26,"true","false","false",5,0,5,"r2","r2",26,10,1
28,"Panero la","08023","h",44,"r6","","r2","r1","r1","r3","r3","r1","r1","r2","r1","r2","r3","r3","r2","2015-12-12 11:41:34.563988","2015-12-12 11:56:32.551294",1,"2015-12-12 11:42:51.986364",20,8,"true","false","false",5,0,2,"r1","r4",8,10,1
29,"Quiso","08850","h",52,"r3","","r1","r2","r2","r2","r3","r3","r2","r1","r2","r2","r3","r3","r2","2015-12-12 11:44:27.593978","2015-12-12 11:58:47.448229",1,"2015-12-12 11:49:01.049805",40,20,"true","false","false",5,0,1,"r1","r2",20,10,1
30,"Claudia","08020","d",12,"r3","","r1","r2","r4","r2","r1","r3","r1","r1","r1","r2","r3","r3","r2","2015-12-12 11:44:51.821188","2015-12-12 11:58:48.675413",1,"2015-12-12 11:49:09.596139",60,40,"true","false","false",5,0,6,"r1","r2",40,10,1
31,"Patufeta","08550","d",50,"r3","","r1","r1","r2","r3","r2","r3","r1","r1","r2","r2","r4","r3","r2","2015-12-12 11:45:56.041989","2015-12-12 12:13:53.998246",1,"2015-12-12 11:53:31.540318",40,23,"true","false","false",6,0,5,"r4","r1",23,10,1
32,"Jordii01","08550","h",14,"r2","","r1","r1","r2","r3","r3","r1","r2","r2","r1","r2","r3","r3","r4","2015-12-12 11:46:11.461914","2015-12-12 12:01:58.571089",1,"2015-12-12 11:50:22.246083",50,16,"true","false","false",5,0,4,"r1","r4",16,10,1
33,"Julia_14","08550","d",14,"r3","","r1","r2","r2","r2","r2","r3","r1","r3","r1","r2","r4","r3","r4","2015-12-12 11:48:25.721385","2015-12-12 12:15:30.319610",1,"2015-12-12 11:53:33.878931",40,21,"true","false","false",6,0,4,"r4","r3",21,10,1
34,"Casta ya","08512","d",30,"r6","","r1","r2","r2","r1","r1","r1","r2","r1","r2","r2","r3","r3","r2","2015-12-12 11:57:50.783664","2015-12-12 12:12:28.176448",1,"2015-12-12 12:01:24.607294",40,21,"true","false","true",6,0,1,"r3","r3",21,10,1
35,"Rocío moja","08512","h",37,"r6","","r1","r1","r1","r3","r3","r1","r1","r2","r1","r2","r3","r3","r2","2015-12-12 11:58:06.876513","2015-12-12 12:11:40.628597",1,"2015-12-12 12:01:27.934363",40,17,"true","false","false",6,0,3,"r3","r3",17,10,1
36,"Sara_delValle","43480","d",23,"r6","","r1","r1","r2","r2","r2","r1","r1","r1","r3","r2","r3","r3","r4","2015-12-12 12:00:07.074886","2015-12-12 12:16:39.910183",1,"2015-12-12 12:05:59.749166",40,18,"true","false","false",7,0,2,"r3","r3",18,10,1
37,"Rayack","43480","h",26,"r6","","r1","r1","r2","r3","r3","r2","r1","r2","r1","r2","r3","r3","r1","2015-12-12 12:00:08.891776","2015-12-12 12:12:03.859798",1,"2015-12-12 12:03:51.060479",40,21,"true","false","false",6,0,2,"r3","r2",21,10,1
38,"Bonita","08030","d",60,"r4","","r1","r1","r2","r3","r3","r3","r2","r1","r1","r4","r3","r3","r2","2015-12-12 12:00:36.929354","2015-12-12 12:17:29.372768",1,"2015-12-12 12:05:50.023672",40,11,"true","false","false",7,0,4,"r3","r4",11,10,1
39,"Matakross","08902","h",14,"r2","","r1","r2","r4","r3","r1","r1","r2","r1","r1","r2","r3","r3","r1","2015-12-12 12:01:25.259162","2015-12-12 12:10:31.020800",1,"2015-12-12 12:02:57.458625",40,15,"true","false","false",6,0,6,"r1","r2",15,10,1
40,"Caragato","08902","h",38,"r3","","r1","r1","r1","r3","r3","r1","r2","r2","r2","r2","r3","r3","r2","2015-12-12 12:02:01.777240","2015-12-12 12:15:23.704421",1,"2015-12-12 12:05:54.468482",40,33,"true","false","false",7,0,3,"r3","r3",33,10,1
41,"Paco","08030","h",65,"r2","","r1","r2","r1","r2","r2","r3","r1","r1","r1","r2","r4","r3","r2","2015-12-12 12:02:17.869545","2015-12-12 12:18:34.007295",1,"2015-12-12 12:05:44.456717",40,17,"true","false","false",7,0,5,"r1","r2",17,10,1
42,"CinfuefosXII","08017","h",15,"r2","","r1","r2","r4","r2","r1","r3","r1","r1","r2","r1","r4","r3","r1","2015-12-12 12:04:33.053604","2015-12-12 12:18:11.007459",1,"2015-12-12 12:05:45.306651",40,17,"true","false","false",7,0,6,"r2","r3",17,10,1
43,"Bernip25","08030","h",14,"r3","","r1","r1","r1","r2","r1","r1","r1","r1","r1","r2","r3","r3","r2","2015-12-12 12:04:38.694537","2015-12-12 12:16:52.758334",1,"2015-12-12 12:08:22.604538",40,22,"true","false","false",7,0,1,"r1","r3",22,10,1
44,"Merece","08020","d",44,"r6","","r1","r2","r2","r1","r2","r1","r1","r1","r1","r2","r4","r3","r2","2015-12-12 12:16:33.007770","2015-12-12 12:33:47.944317",1,"2015-12-12 12:20:10.289589",30,16,"true","false","false",8,0,6,"r3","r4",16,10,1
45,"Eliild","08030","h",25,"r5","","r1","r4","r4","r4","r4","r2","r2","r3","r2","r2","r1","r4","r1","2015-12-12 12:19:40.705570","2015-12-12 12:33:42.241055",1,"2015-12-12 12:21:05.088109",20,0,"true","true","true",8,0,4,"r3","r3",0,10,1
