"id","ha_seleccionat","seleccio","temps_seleccio","ronda_id","user_id"
1,1,4,"2015-12-12 11:15:47.488159",1,1
2,1,3,"2015-12-12 11:15:40.016475",1,2
3,1,4,"2015-12-12 11:15:41.971357",1,3
4,1,2,"2015-12-12 11:15:40.065619",1,6
5,1,2,"2015-12-12 11:15:39.146240",1,7
6,1,3,"2015-12-12 11:15:43.870866",1,8
7,1,3,"2015-12-12 11:16:13.472208",2,1
8,1,4,"2015-12-12 11:16:04.657920",2,2
9,1,4,"2015-12-12 11:16:08.323566",2,3
10,1,1,"2015-12-12 11:16:09.729222",2,6
11,1,4,"2015-12-12 11:16:07.745214",2,7
12,1,4,"2015-12-12 11:16:08.837883",2,8
13,1,4,"2015-12-12 11:16:32.297398",3,1
14,1,4,"2015-12-12 11:16:29.950311",3,2
15,1,4,"2015-12-12 11:16:40.216427",3,3
16,1,4,"2015-12-12 11:16:32.518687",3,6
17,1,2,"2015-12-12 11:16:30.666769",3,7
18,1,3,"2015-12-12 11:16:36.329461",3,8
19,1,3,"2015-12-12 11:17:07.843896",4,1
20,1,3,"2015-12-12 11:16:58.914128",4,2
21,1,0,"2015-12-12 11:16:59.586847",4,3
22,1,3,"2015-12-12 11:16:59.545543",4,6
23,1,1,"2015-12-12 11:16:57.729814",4,7
24,1,2,"2015-12-12 11:17:01.685087",4,8
25,1,2,"2015-12-12 11:17:29.858214",5,1
26,1,4,"2015-12-12 11:17:23.981156",5,2
27,1,0,"2015-12-12 11:17:24.697142",5,3
28,1,2,"2015-12-12 11:17:25.732064",5,6
29,1,1,"2015-12-12 11:17:26.752234",5,7
30,1,4,"2015-12-12 11:17:33.821616",5,8
31,1,2,"2015-12-12 11:17:54.233863",6,1
32,1,4,"2015-12-12 11:17:50.386114",6,2
33,1,0,"2015-12-12 11:17:50.664604",6,3
34,1,4,"2015-12-12 11:17:52.017153",6,6
35,1,2,"2015-12-12 11:17:53.820289",6,7
36,1,3,"2015-12-12 11:18:03.091520",6,8
37,1,4,"2015-12-12 11:18:20.184098",7,1
38,1,0,"2015-12-12 11:18:19.801659",7,2
39,1,0,"2015-12-12 11:18:20.599552",7,3
40,1,4,"2015-12-12 11:18:20.101964",7,6
41,1,1,"2015-12-12 11:18:20.957749",7,7
42,1,4,"2015-12-12 11:18:27.023063",7,8
43,1,3,"2015-12-12 11:18:44.425684",8,1
44,1,0,"2015-12-12 11:18:43.188595",8,2
45,1,0,"2015-12-12 11:18:43.847924",8,3
46,1,1,"2015-12-12 11:18:45.215268",8,6
47,1,0,"2015-12-12 11:18:43.153869",8,7
48,1,3,"2015-12-12 11:18:53.572816",8,8
49,1,3,"2015-12-12 11:19:12.381452",9,1
50,1,0,"2015-12-12 11:19:10.167367",9,2
51,1,0,"2015-12-12 11:19:13.085501",9,3
52,1,1,"2015-12-12 11:19:11.223375",9,6
