"id","num_partida","data_creacio","data_inicialitzacio","data_finalitzacio","estat","classe","num_rondes","ronda_actual","data_fi_ronda","usuaris_registrats","guanyen_igualment","diners_heterogenis","objectiu_aconseguit","comentari","partida_024","imatges_refors"
1,1,"2015-12-22 10:24:57","2015-12-22 10:25:35","2015-12-22 10:30:07","ACABADA","TEST",10,11,"2015-12-22 10:30:51",6,0,1,1,"",1,0
2,2,"2015-12-22 12:31:40","2015-12-22 12:47:33","2015-12-22 12:51:23","ACABADA","SARRIA",10,11,"2015-12-22 12:52:07",6,1,1,1,"",1,0
3,3,"2015-12-22 13:27:07","2015-12-22 13:33:54","2015-12-22 13:39:06","ACABADA","SARRIA",10,11,"2015-12-22 13:39:49",6,0,1,0,"",1,0
4,4,"2015-12-22 13:51:38","2015-12-22 14:00:03","2015-12-22 14:04:13","ACABADA","SARRIA",10,11,"2015-12-22 14:04:56",6,1,1,1,"",1,0
5,5,"2015-12-22 14:10:47","2015-12-22 14:19:03","2015-12-22 14:23:20","ACABADA","SARRIA",10,11,"2015-12-22 14:24:03",6,0,1,1,"",1,0
6,6,"2015-12-22 14:28:42","2015-12-22 14:38:39","2015-12-22 14:42:43","ACABADA","SARRIA",10,11,"2015-12-22 14:43:27",6,0,1,1,"",1,0
7,7,"2015-12-22 14:54:42","2015-12-22 15:01:12","2015-12-22 15:06:12","ACABADA","SARRIA",10,11,"2015-12-22 15:06:56",6,0,1,1,"",1,0
8,8,"2015-12-22 15:27:40","2015-12-22 15:42:02","2015-12-22 15:46:18","ACABADA","SARRIA",10,11,"2015-12-22 15:47:02",6,0,1,1,"",1,0
9,9,"2015-12-22 16:06:26","2015-12-22 16:18:12","2015-12-22 16:23:02","ACABADA","SARRIA",10,11,"2015-12-22 16:23:46",6,0,1,1,"",1,0
10,10,"2015-12-22 16:45:15","2015-12-22 16:51:20","2015-12-22 16:55:21","ACABADA","SARRIA",10,11,"2015-12-22 16:56:04",6,0,1,1,"",1,0
11,11,"2015-12-22 17:02:31","2015-12-22 17:10:49","2015-12-22 17:15:42","ACABADA","SARRIA",10,11,"2015-12-22 17:16:26",6,0,1,1,"",1,0
12,12,"2015-12-23 14:36:27","2015-12-23 14:37:09","2015-12-23 14:41:05","ACABADA","TEST",10,11,"2015-12-23 14:41:49",6,0,1,0,"",1,0
13,13,"2015-12-23 16:09:09","2015-12-23 16:18:57","2015-12-23 16:26:04","ACABADA","SANTPERE",10,11,"2015-12-23 16:26:48",6,0,1,1,"",1,0
14,14,"2015-12-23 16:35:03","2015-12-23 16:44:58","2015-12-23 16:49:13","ACABADA","SANTPERE",10,11,"2015-12-23 16:49:57",6,1,1,0,"",1,0
15,15,"2015-12-23 17:09:08","2015-12-23 17:14:37","2015-12-23 17:18:59","ACABADA","SANTPERE",10,11,"2015-12-23 17:19:43",6,0,1,1,"",1,0
16,16,"2015-12-23 17:27:59","","","ACABADA_MANUAL","SANTPERE",10,0,"",6,0,0,0,"",1,0
17,17,"2015-12-23 18:00:04","2015-12-23 18:08:37","2015-12-23 18:12:58","ACABADA","SANTPERE",10,11,"2015-12-23 18:13:41",6,0,1,1,"",1,0
18,18,"2015-12-23 18:26:40","2015-12-23 18:41:28","2015-12-23 18:45:16","ACABADA","SANTPERE",10,11,"2015-12-23 18:45:59",6,0,1,1,"",1,0
19,19,"2015-12-23 18:59:38","2015-12-23 19:12:30","2015-12-23 19:17:16","ACABADA","SANTPERE",10,11,"2015-12-23 19:17:59",6,0,1,1,"",1,0
