"id","nickname","codi_postal","genere","rang_edat","nivell_estudis","prfinal0","prfinal1","prfinal2","prfinal3","prfinal4","prfinal5","prfinal6","prfinal7","prfinal8","prfinal9","prfinal10","prfinal11","prfinal12","prfinal13","data_creacio","data_finalitzacio","acabat","data_registre","diners_inicials","diners_actuals","check_1","check_2","check_3","partida_id","is_robot","num_jugador","prfinal14","prfinal15","guany_final","num_seleccions","sorteig"
1,"Test5","09000","d",56,"r1","","r1","r4","r3","r1","r1","r2","r1","r2","r3","r1","r4","r3","r1","2015-12-22 10:22:58","2015-12-22 10:33:11",1,"2015-12-22 10:25:15",30,8,"true","false","false",1,0,3,"r1","r4",8,10,0
2,"Test2","12345","d",16,"r2","","r1","r3","r4","r2","r2","r1","r2","r2","r2","r1","r4","r4","r3","2015-12-22 10:23:22","2015-12-22 10:33:16",1,"2015-12-22 10:25:20",40,30,"true","true","false",1,0,6,"r3","r1",30,10,0
3,"Test1","12345","h",12,"r1","","r1","r3","r1","r2","r1","r2","r3","r2","r1","r4","r1","r3","r1","2015-12-22 10:23:40","2015-12-22 10:33:18",1,"2015-12-22 10:25:11",40,32,"true","true","false",1,0,4,"r4","r3",32,10,1
4,"Test3","12345","h",14,"r1","","r1","r1","r1","r1","r4","r1","r1","r2","r3","r1","r4","r3","r1","2015-12-22 10:23:53","2015-12-22 10:34:44",1,"2015-12-22 10:25:09",20,0,"true","true","false",1,0,1,"r3","r4",0,10,0
5,"Test4","09000","h",55,"r1","","r1","r1","r1","r1","r2","r3","r1","r2","r3","r1","r4","r3","r1","2015-12-22 10:23:58","2015-12-22 10:35:03",1,"2015-12-22 10:25:14",60,28,"true","true","false",1,0,5,"r4","r3",28,10,0
6,"Test6","12345","h",23,"r2","","r1","r1","r1","r1","r1","r1","r1","r2","r3","r1","r1","r1","r1","2015-12-22 10:24:14","2015-12-22 10:34:50",1,"2015-12-22 10:25:07",50,20,"true","true","false",1,0,2,"r2","r3",20,9,0
7,"Aure","08025","d",26,"r6","","r1","r2","r2","r3","r3","r2","r2","r1","r2","r2","r4","r2","r2","2015-12-22 12:36:37","2015-12-22 12:56:08",1,"2015-12-22 12:39:27",40,26,"true","false","false",2,0,2,"r2","r2",26,10,1
8,"Mercè","08022","d",41,"r6","","r1","r2","r2","r3","r3","r1","r1","r1","r1","r2","r1","r3","r2","2015-12-22 12:39:03","2015-12-22 12:57:31",1,"2015-12-22 12:40:08",30,14,"true","false","false",2,0,6,"r1","r1",14,10,0
9,"Coia","08016","h",57,"r6","","r1","r2","r2","r1","r2","r3","r1","r2","r2","r2","r3","r1","r2","2015-12-22 12:41:34","2015-12-22 12:56:15",1,"2015-12-22 12:43:31",20,2,"true","false","false",2,0,1,"r1","r3",2,10,0
10,"Miranfu","08008","d",47,"r6","","r1","r2","r1","r2","r2","r2","r3","r3","r3","r2","r3","r3","r2","2015-12-22 12:43:16","2015-12-22 12:55:26",1,"2015-12-22 12:46:38",40,22,"true","false","false",2,0,3,"r3","r1",22,10,0
11,"SvK","08197","h",38,"r6","","r1","r1","r1","r3","r3","r2","r1","r2","r1","r2","r3","r3","r2","2015-12-22 12:44:41","2015-12-22 12:56:26",1,"2015-12-22 12:46:54",60,26,"true","false","true",2,0,4,"r1","r3",26,10,0
12,"Marieta","08205","h",62,"r6","","r1","r2","r2","r3","r3","r2","r1","r1","r1","r2","r3","r3","r2","2015-12-22 12:45:25","2015-12-22 12:59:50",1,"2015-12-22 12:47:20",50,24,"true","false","false",2,0,5,"r2","r2",24,10,0
13,"Alujas","08211","h",19,"r4","","r1","r2","r2","r2","r1","r1","r1","r1","r1","r2","r3","r3","r2","2015-12-22 13:29:21","2015-12-22 13:43:41",1,"2015-12-22 13:32:51",60,32,"true","false","true",3,0,6,"r1","r2",0,10,0
14,"Uri","08202","h",19,"r4","","r1","r2","r4","r3","r4","r1","r1","r3","r1","r2","r3","r3","r2","2015-12-22 13:29:22","2015-12-22 13:44:04",1,"2015-12-22 13:32:52",20,8,"true","false","false",3,0,1,"r2","r2",0,10,0
