id,num_partida,num_rondes,usuaris_registrats,guanyen_igualment,comentari,objectiu_aconseguit
1,1,10,6,0,,1
2,2,10,6,1,,1
3,3,10,6,1,,1
4,4,10,6,0,,1
5,5,10,6,0,,1
6,6,10,6,0,,1
7,7,10,6,1,,1
8,8,10,6,0,,1
9,9,10,6,0,,1
10,10,10,6,0,,0
11,11,10,6,0,No valida - Partida dels alumnes,1
12,12,10,6,1,,1
13,13,10,6,1,,1
14,14,10,6,1,,1
15,15,10,6,1,,1
16,16,10,6,1,,1
17,17,10,6,0,,1
18,18,10,6,1,,1
19,19,10,6,1,,1
20,20,10,6,0,,1
21,21,10,6,0,,1
22,22,10,6,1,,1
23,23,10,6,1,,1
24,24,10,6,0,,1
25,25,10,6,1,,1
26,26,10,6,0,,1
27,27,10,6,1,,1
28,28,10,6,1,,1
29,29,10,6,1,,1
30,30,10,6,1,,1
