id,nickname,codi_postal,genere,rang_edat,nivell_estudis,situacio_laboral,estat_civil,num_jugador,acabat,diners_inicials,num_seleccions,guany_final,partida_id,vals,origen,pais,residencia,enquesta_final_pr1,enquesta_final_pr2,enquesta_final_pr3,enquesta_final_pr4,enquesta_final_pr5,enquesta_final_pr6,enquesta_final_pr7,enquesta_final_pr8,enquesta_final_pr9,enquesta_final_pr10,enquesta_final_pr11,enquesta_final_pr12,enquesta_final_pr13,bots
1,Leo,8840,F,r6,r2,r1,r1,3,1,40,10,24,1,3,r1,Spain,r1,r1,r1,r4,r1 r5 ,r2,r9 ,r7,r4,r2,r1,r2,r3 ,Mas plantas y que los nií±os tengan mas espacio para ellos.,0
2,Jaimito,8840,M,r6,r7,r1,r4,6,1,40,10,20,1,3,r1,Spain,r1,r1,r2,r1,r1 r3 ,r1,na,r3,r5,r1,r1,r1,r1 r2 r3 r4 ,"Todo zona peatonal
",0
3,Hugo,8840,M,r7,r4,r1,r2,1,1,40,10,10,1,2,r1,Spain,r1,r1,r1,r3,r1 r4 ,r2,r11 ,r2,r3,r1,r2,r1,r5 ,La mejora en la pavimentacion,0
4,Francisca,8840,F,r7,r2,r1,r5,5,0,40,6,0,1,0,r1,Spain,r1,,,,,,,,,,,,,,4
5,Lucia,8840,M,r4,r6,r3,r2,4,1,40,10,20,1,3,r2,Chile,r1,r1,r2,r3,r5 ,r1,na,r2,r2,r4,r4,r2,r1 ,Un parque mas grande zonas verdee,0
6,Luz,8840,M,r7,r7,r1,r2,2,0,40,9,16,1,2,r1,Spain,r1,,,,,,,,,,,,,,1
7,Tere,8840,M,r4,r5,r3,r1,1,1,40,10,16,2,2,r1,Spain,r1,r1,r2,r3,r1 r2 r4 ,r2,r8 ,r5,r3,r5,r1,r3,r2 r5 ,"
Fuemtes
",0
8,Nunu,8719,M,r4,r6,r2,r4,4,1,40,10,18,2,2,r1,Spain,r1,r5,r4,r6,r6 ,r2,r9 ,r3,r2,r5,r4,r4,r5 ,Flors,0
9,Kime,8840,M,r6,r4,r3,r2,3,1,40,10,30,2,4,r1,Spain,r1,r1,r2,r4,r1 ,r1,na,r4,r3,r5,r2,r3,r6 ,"ESpacio verde
",0
10,Rosi,8840,M,r5,r3,r3,r2,6,1,40,10,22,2,3,r1,Spain,r1,r1,r2,r5,r1 r4 ,r2,r6 ,r4,r2,r5,r4,r3,r2 ,Tiendas  de ropa y accesorios para decorar,0
11,Man el,8840,M,r7,r7,r1,r5,5,1,40,10,10,2,2,r1,Spain,r1,r1,r1,r4,r1 ,r1,na,r3,r5,r1,r1,r1,r1 ,Paviment correcte,0
12,Candid duran,8840,M,r7,r2,r1,r2,2,1,40,10,20,2,3,r1,Spain,r1,r1,r1,r4,r1 r2 ,r1,na,r4,r2,r2,r1,r3,r2 ,Papeleras,0
13,Aavviirr,8840,F,r7,r2,r1,r5,3,0,40,10,24,3,3,r1,Spain,r1,r1,r2,r2,r2 r4 ,r2,r2 r8 r10 ,r3,r4,r1,r1,r2,r2 ,"Papeleras
",0
14,Tekila,8840,F,r6,r2,r1,r5,6,0,40,10,20,3,3,r1,Spain,r1,r1,r3,r4,r4 ,r3,r11 ,r6,r5,r3,r3,r4,r6 ,Gg,0
15,B,8840,M,r6,r1,r1,r2,2,1,40,10,12,3,2,r1,Spain,r1,r1,r1,r1,r1 ,r1,na,r3,r3,r1,r1,r1,r1 ,"Una fuente , papeleras ",0
16,Angels,8840,M,r7,r2,r1,r5,4,1,40,10,10,3,2,r1,Spain,r1,r1,r2,r1,r1 r2 r3 r6 ,r1,na,r4,r5,r1,r1,r2,r1 r6 ,Molts cotxes,0
17,Paca,8840,M,r5,r6,r3,r2,5,1,40,10,22,3,3,r1,Spain,r1,r2,r2,r3,r5 ,r2,r6 r7 ,r4,r3,r5,r2,r2,r1 r2 ,"Mas ambiente comercial
",0
18,Rositaa,8840,M,r7,r7,r1,r2,1,1,40,10,8,3,1,r1,Spain,r1,r1,r2,r3,r1 ,r2,r10 ,r6,r3,r1,r2,r2,r1 r2 r3 ,Mas comercio,0
19,Alejos,8840,M,r7,r5,r1,r1,1,1,40,10,14,4,2,r1,Spain,r1,r4,r1,r3,,r1,na,r6,r2,r4,r4,r1,r1 ,"No lo sabe
",0
20,Prb9,8840,F,r1,r4,r2,r1,5,1,40,10,18,4,2,r1,Spain,r1,r1,r2,r1,r2 ,r2,r5 r7 r9 ,r3,r5,r1,r1,r2,r1 r2 r5 ,"Fonts, espai verds, zones per a joves
",0
21,Kilian30,8840,M,r2,r4,r2,r6,2,1,40,10,28,4,3,r1,Spain,r1,r1,r2,r1,r1 r2 ,r2,r6 r7 r8 ,r3,r4,r1,r1,r2,r1 r2 r5 ,Algo mas de espacio y los televisores en las terrazas,0
22,Carla,8840,M,r1,r5,r2,r1,3,1,40,10,20,4,3,r1,Spain,r1,r1,r2,r6,r1 r2 r4 ,r2,r2 r5 r7 r8 r9 ,r3,r4,r1,r1,r2,r2 ,"Mas bancos. Mas tiendas 
",0
23,Maria,8840,M,r2,r4,r2,r1,6,1,40,10,16,4,2,r1,Spain,r1,r1,r2,r1,r2 ,r2,r2 r5 r7 r10 ,r3,r4,r1,r1,r3,r2 ,"No se
",0
