id,ha_seleccionat,seleccio,ronda_id,user_id
1,1,2,1,1
2,1,2,1,2
3,1,4,1,3
4,1,4,1,4
5,1,2,1,5
6,1,2,1,6
7,1,0,2,1
8,1,2,2,2
9,1,2,2,3
10,1,2,2,4
11,1,4,2,5
12,1,4,2,6
13,1,2,3,1
14,1,2,3,2
15,1,2,3,3
16,1,4,3,4
17,1,2,3,5
18,1,2,3,6
19,1,4,4,1
20,1,2,4,2
21,1,4,4,3
22,1,4,4,4
23,1,0,4,5
24,1,4,4,6
25,1,2,5,1
26,1,2,5,2
27,1,4,5,3
28,1,4,5,4
29,1,0,5,5
30,1,2,5,6
31,1,0,6,1
32,1,2,6,2
33,1,4,6,3
34,1,4,6,4
35,1,2,6,5
36,1,4,6,6
37,1,4,7,1
38,1,2,7,2
39,1,4,7,3
40,0,2,7,4
41,1,2,7,5
42,1,2,7,6
43,1,2,8,1
44,1,4,8,2
45,1,4,8,3
46,0,2,8,4
47,1,4,8,5
48,1,4,8,6
49,1,0,9,1
50,1,2,9,2
51,1,2,9,3
52,0,0,9,4
53,1,2,9,5
54,1,0,9,6
55,1,0,10,1
56,1,0,10,2
57,1,0,10,3
58,0,0,10,4
59,1,2,10,5
60,0,0,10,6
61,1,2,11,7
62,1,0,11,8
63,1,0,11,9
64,1,2,11,10
65,1,0,11,11
66,1,2,11,12
67,1,2,12,7
68,1,2,12,8
69,1,2,12,9
70,1,2,12,10
71,1,2,12,11
72,1,2,12,12
73,1,2,13,7
74,1,4,13,8
75,1,0,13,9
76,1,2,13,10
77,1,4,13,11
78,1,2,13,12
79,1,2,14,7
80,1,4,14,8
81,1,2,14,9
82,1,0,14,10
83,1,4,14,11
84,1,4,14,12
85,1,2,15,7
86,1,2,15,8
87,1,2,15,9
88,1,2,15,10
89,1,4,15,11
90,1,2,15,12
91,1,4,16,7
92,1,4,16,8
93,1,0,16,9
94,1,2,16,10
95,1,4,16,11
96,1,2,16,12
97,1,4,17,7
98,1,4,17,8
99,1,4,17,9
100,1,4,17,10
101,1,4,17,11
102,1,4,17,12
103,1,4,18,7
104,1,2,18,8
105,1,0,18,9
106,1,2,18,10
107,1,2,18,11
108,1,2,18,12
109,1,2,19,7
110,1,0,19,8
111,1,0,19,9
112,1,0,19,10
113,1,4,19,11
114,1,0,19,12
115,1,0,20,7
116,1,0,20,8
117,1,0,20,9
118,1,2,20,10
119,1,2,20,11
120,1,0,20,12
121,1,2,21,13
122,1,2,21,14
123,1,2,21,15
124,1,2,21,16
125,1,2,21,17
126,1,4,21,18
127,1,4,22,13
128,1,2,22,14
129,1,4,22,15
130,1,4,22,16
131,1,4,22,17
132,1,2,22,18
133,1,2,23,13
134,1,2,23,14
135,1,2,23,15
136,1,2,23,16
137,1,2,23,17
138,1,4,23,18
139,1,0,24,13
140,1,2,24,14
141,1,4,24,15
142,1,4,24,16
143,1,0,24,17
144,1,4,24,18
145,1,2,25,13
146,1,2,25,14
147,1,4,25,15
148,1,4,25,16
149,1,4,25,17
150,1,4,25,18
151,1,2,26,13
152,1,2,26,14
153,1,4,26,15
154,1,2,26,16
155,1,2,26,17
156,1,2,26,18
157,1,2,27,13
158,1,2,27,14
159,1,2,27,15
160,1,4,27,16
161,1,0,27,17
162,1,4,27,18
163,1,2,28,13
164,1,2,28,14
165,1,4,28,15
166,1,4,28,16
167,1,2,28,17
168,1,4,28,18
169,1,0,29,13
170,1,2,29,14
171,1,0,29,15
172,1,0,29,16
173,1,2,29,17
174,1,0,29,18
175,1,0,30,13
176,1,2,30,14
177,1,2,30,15
178,1,4,30,16
179,1,0,30,17
180,1,4,30,18
181,1,4,31,19
182,1,2,31,20
183,1,2,31,21
