"","user_id","partida","seleccio.1","seleccio.2","seleccio.3","seleccio.4","seleccio.5","seleccio.6","seleccio.7","seleccio.8","seleccio.9","seleccio.10","mean_contr","SD","mean.1","mean.2","mean.3","mean.4","mean.5","mean.6","mean.7","mean.8","mean.9","mean.10","comp_mean1","comp_mean2","comp_mean3","comp_mean4","comp_mean5","comp_mean6","comp_mean7","comp_mean8","comp_mean9","comp_mean10","comp_last_mean2","comp_last_mean3","comp_last_mean4","comp_last_mean5","comp_last_mean6","comp_last_mean7","comp_last_mean8","comp_last_mean9","comp_last_mean10","cond_coop2","cond_coop3","cond_coop4","cond_coop5","cond_coop6","cond_coop7","cond_coop8","cond_coop9","cond_coop10","free_1","free_2","free_3","free_4","free_5","free_6","free_7","free_8","free_9","free_10","nickname","codi_postal","genere","rang_edat","nivell_estudis","prfinal0","prfinal1","prfinal2","prfinal3","prfinal4","prfinal5","prfinal6","prfinal7","prfinal8","prfinal9","prfinal10","prfinal11","prfinal12","prfinal13","data_creacio","data_finalitzacio","acabat","data_registre","diners_inicials","diners_actuals","check_1","check_2","check_3","partida_id","is_robot","num_jugador","prfinal14","prfinal15","guany_final","num_seleccions","sorteig","agegroups"
"1",1,1,4,3,4,3,2,2,4,3,3,0,2.8,1.22927259430572,3,3.33333333333333,3.5,2,2.16666666666667,2.5,2.16666666666667,1.16666666666667,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,"Nitahorse",8203,"female",28,"secondary",NA,"No","Very Much","No, after a few rounds","Disagree","Disagree","Agree","Agree","Agree","Disagree","Greenhouse Effect","China","Solar energy","Kyoto Protocol","2015-12-12 10:54:56.666328","2015-12-12 11:24:25.525823",1,"2015-12-12 11:12:07.887762",40,12,"true","false","false",1,0,3,"Individual gas fee","5%",12,10,1,"25-29"
"2",2,1,3,4,4,3,4,4,0,0,0,4,2.6,1.83787316694536,3,3.33333333333333,3.5,2,2.16666666666667,2.5,2.16666666666667,1.16666666666667,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,"Max demoran",8028,"male",45,"secondary",NA,"No","Very Much","Yes, from the beginning","Disagree","My contribution should not depend on this","Agree","Agree","Disagree","Disagree","Greenhouse Effect","Italy","Oil","Kyoto Protocol","2015-12-12 11:10:35.919172","2015-12-12 11:24:11.351686",1,"2015-12-12 11:12:41.668566",40,14,"true","false","false",1,0,6,"Eco-Impact","5%",14,10,1,"45-49"
"3",3,1,4,4,4,0,0,0,0,0,0,0,1.2,1.93218356615859,3,3.33333333333333,3.5,2,2.16666666666667,2.5,2.16666666666667,1.16666666666667,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"Ellas",8027,"male",15,"none",NA,"No","Very Much","Yes, after a few rounds","My contribution should not depend on this","Agree","Agree","Disagree","Agree","Agree","Greenhouse Effect","Italy","Solar energy","Kyoto Protocol","2015-12-12 11:10:39.550620","2015-12-12 11:24:03.732214",1,"2015-12-12 11:12:32.724448",40,28,"true","false","false",1,0,2,"Reduced environmental cost","20%",28,10,1,"15-19"
"4",5,2,3,4,3,3,0,1,0,2,4,0,2,1.63299316185545,3.16666666666667,3.83333333333333,3.5,3.83333333333333,3,2.66666666666667,2.16666666666667,2,3,1.66666666666667,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,"Peripam",8440,"male",24,"prof",NA,"No","Somewhat","Yes, after a few rounds","My contribution should not depend on this","My contribution should not depend on this","Agree","Agree","Agree","n/a","Greenhouse Effect","Italy","Solar energy","Kyoto Protocol","2015-12-12 11:11:17.292067","2015-12-12 11:25:48.133030",1,"2015-12-12 11:16:10.346103",30,10,"true","false","false",2,0,6,"Individual gas fee","20%",10,10,1,"20-24"
"5",6,1,2,1,4,3,2,4,4,1,1,2,2.4,1.26491106406735,3,3.33333333333333,3.5,2,2.16666666666667,2.5,2.16666666666667,1.16666666666667,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Pato",8027,"female",14,"none",NA,"No","Somewhat","Yes, after a few rounds","My contribution should not depend on this","My contribution should not depend on this","Agree","n/a","Agree","Disagree","Greenhouse Effect","Italy","Solar energy","Schengen Agreement","2015-12-12 11:12:04.799270","2015-12-12 11:23:39.378448",1,"2015-12-12 11:14:50.121337",40,16,"true","false","false",1,0,1,"Carbon footprint","15%",16,10,1,"10-14"
"6",7,1,2,4,2,1,1,2,1,0,1,0,1.4,1.17378779077727,3,3.33333333333333,3.5,2,2.16666666666667,2.5,2.16666666666667,1.16666666666667,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,"Carbu ",8016,"male",14,"none",NA,"No","Somewhat","Yes, after a few rounds","My contribution should not depend on this","My contribution should not depend on this","Agree","Disagree","Agree","Agree","Greenhouse Effect","Italy","Solar energy","Declaration of Helsinki","2015-12-12 11:12:09.856312","2015-12-12 11:24:57.727324",1,"2015-12-12 11:14:57.016030",40,26,"true","false","false",1,0,4,"Individual gas fee","20%",26,10,1,"10-14"
"7",8,1,3,4,3,2,4,3,4,3,1,0,2.7,1.33749350984926,3,3.33333333333333,3.5,2,2.16666666666667,2.5,2.16666666666667,1.16666666666667,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,"Júlia",8041,"female",16,"secondary",NA,"No","Not Really","Yes, from the beginning","My contribution should not depend on this","My contribution should not depend on this","Agree","Agree","Agree","Disagree","Greenhouse Effect","Italy","Solar energy","Kyoto Protocol","2015-12-12 11:12:10.120276","2015-12-12 11:23:19.476899",1,"2015-12-12 11:13:46.605264",40,13,"true","false","false",1,0,5,"Eco-Impact","15%",13,10,1,"15-19"
"8",9,2,2,3,3,4,3,1,1,0,2,1,2,1.24721912892465,3.16666666666667,3.83333333333333,3.5,3.83333333333333,3,2.66666666666667,2.16666666666667,2,3,1.66666666666667,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"Lau",8739,"female",25,"secondary",NA,"No","Somewhat","Yes, from the beginning","Disagree","My contribution should not depend on this","n/a","Agree","Disagree","Disagree","Greenhouse Effect","U.S","Solar energy","Kyoto Protocol","2015-12-12 11:12:10.923382","2015-12-12 11:23:18.388273",1,"2015-12-12 11:16:05.775073",20,0,"true","false","false",2,0,3,"Eco-Impact","15%",0,10,1,"25-29"
"9",10,2,3,4,3,4,3,4,4,1,2,2,3,1.05409255338946,3.16666666666667,3.83333333333333,3.5,3.83333333333333,3,2.66666666666667,2.16666666666667,2,3,1.66666666666667,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Sea",8027,"female",15,"none",NA,"No","Very Much","Yes, after a few rounds","My contribution should not depend on this","My contribution should not depend on this","n/a","Agree","n/a","Disagree","Greenhouse Effect","China","Nuclear energy","Schengen Agreement","2015-12-12 11:12:20.936528","2015-12-12 11:25:42.640671",1,"2015-12-12 11:16:25.513434",40,10,"true","false","false",2,0,4,"Reduced environmental cost","15%",10,10,1,"15-19"
"10",11,2,4,4,4,4,4,4,3,3,4,4,3.8,0.421637021355784,3.16666666666667,3.83333333333333,3.5,3.83333333333333,3,2.66666666666667,2.16666666666667,2,3,1.66666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"África",8016,"female",16,"primary",NA,"No","Somewhat","Yes, after a few rounds","My contribution should not depend on this","My contribution should not depend on this","n/a","Agree","Agree","n/a","Greenhouse Effect","U.S","Solar energy","Schengen Agreement","2015-12-12 11:13:03.877981","2015-12-12 11:25:22.601452",1,"2015-12-12 11:16:16.317454",40,2,"true","false","false",2,0,2,"Eco-Impact","5%",2,10,1,"15-19"
