"","user_id","seleccio.1","seleccio.2","seleccio.3","seleccio.4","seleccio.5","seleccio.6","seleccio.7","seleccio.8","seleccio.9","seleccio.10","mean_contr","partida","SD"
"1",1,4,3,4,3,2,2,4,3,3,0,2.8,1,1.22927259430572
"2",2,3,4,4,3,4,4,0,0,0,4,2.6,1,1.83787316694536
"3",3,4,4,4,0,0,0,0,0,0,0,1.2,1,1.93218356615859
"4",6,2,1,4,3,2,4,4,1,1,2,2.4,1,1.26491106406735
"5",7,2,4,2,1,1,2,1,0,1,0,1.4,1,1.17378779077727
"6",8,3,4,3,2,4,3,4,3,1,0,2.7,1,1.33749350984926
"61",5,3,4,3,3,0,1,0,2,4,0,2,2,1.63299316185545
"62",9,2,3,3,4,3,1,1,0,2,1,2,2,1.24721912892465
"63",10,3,4,3,4,3,4,4,1,2,2,3,2,1.05409255338946
"64",11,4,4,4,4,4,4,3,3,4,4,3.8,2,0.421637021355784
"65",12,3,4,4,4,4,3,3,3,4,3,3.5,2,0.52704627669473
"66",14,4,4,4,4,4,3,2,3,2,0,3,2,1.33333333333333
"121",13,4,4,4,4,4,4,4,1,1,0,3,3,1.63299316185545
"122",15,2,1,3,3,4,3,1,1,1,0,1.9,3,1.28668393770792
"123",16,3,2,3,4,3,4,4,2,1,3,2.9,3,0.994428926011753
"124",17,2,2,2,3,1,2,2,1,0,0,1.5,3,0.97182531580755
"125",18,2,2,3,3,4,2,2,2,3,2,2.5,3,0.707106781186548
"126",19,4,4,3,4,2,3,1,0,4,0,2.5,3,1.64991582276861
"181",20,1,2,3,2,2,2,3,1,2,2,2,4,0.666666666666667
"182",21,2,2,3,1,4,2,4,3,0,2,2.3,4,1.25166555703457
"183",22,2,4,3,2,1,1,2,1,4,3,2.3,4,1.15950180872841
"184",23,2,3,4,0,1,3,0,0,1,0,1.4,4,1.50554530541816
"185",24,2,3,1,1,3,2,1,0,2,2,1.7,4,0.948683298050514
"186",25,2,4,3,3,2,2,4,1,3,3,2.7,4,0.948683298050514
"241",26,4,4,3,3,2,3,1,0,4,4,2.8,5,1.3984117975602
"242",27,4,0,1,1,0,4,0,0,2,2,1.4,5,1.57762127549323
"243",28,1,1,1,3,1,1,1,0,1,2,1.2,5,0.788810637746616
"244",29,2,3,1,4,3,0,1,0,3,3,2,5,1.4142135623731
"245",30,2,2,3,2,1,3,2,1,0,4,2,5,1.15470053837925
"246",32,3,4,2,4,4,2,4,4,3,4,3.4,5,0.843274042711568
"301",31,2,3,4,1,3,1,1,0,1,1,1.7,6,1.25166555703457
"302",33,1,2,1,3,1,0,2,2,4,3,1.9,6,1.19721899973786
"303",34,1,2,4,4,0,1,2,3,1,1,1.9,6,1.3703203194063
"304",35,2,4,1,3,3,4,2,3,1,0,2.3,6,1.33749350984926
"305",37,3,3,2,2,2,2,2,0,2,1,1.9,6,0.875595035770913
"306",39,4,2,4,1,4,3,2,4,1,0,2.5,6,1.50923085635624
"361",36,2,3,4,2,3,1,1,2,4,0,2.2,7,1.31656117720877
"362",38,2,3,4,4,4,4,3,2,2,1,2.9,7,1.10050493461461
"363",40,0,1,0,1,0,0,3,2,0,0,0.7,7,1.05934990547138
"364",41,2,3,2,3,3,2,2,3,2,1,2.3,7,0.674948557710553
"365",42,4,4,2,3,2,3,2,1,2,0,2.3,7,1.25166555703457
"366",43,3,2,2,2,1,0,3,3,2,0,1.8,7,1.13529242439509
"421",44,2,2,2,2,2,1,1,2,0,0,1.4,8,0.843274042711568
"422",45,0,1,2,3,4,0,1,2,3,4,2,8,1.49071198499986
"423",46,4,4,4,4,4,4,4,4,4,4,4,8,0
"424",47,1,1,1,2,1,1,0,1,1,0,0.9,8,0.567646212197547
"425",48,4,2,2,3,4,2,4,2,2,3,2.8,8,0.918936583472681
"426",49,3,4,4,3,4,3,3,4,2,4,3.4,8,0.699205898780101
"481",50,2,2,1,1,0,1,2,2,2,0,1.3,9,0.823272602348565
"482",51,4,4,4,4,4,4,0,0,0,4,2.8,9,1.93218356615859
"483",52,2,3,1,2,1,2,0,1,2,3,1.7,9,0.948683298050514
"484",53,2,2,3,4,3,2,3,4,2,0,2.5,9,1.17851130197758
"485",54,4,3,2,0,4,4,0,0,0,0,1.7,9,1.88856206322871
"486",55,4,3,3,3,4,4,4,2,2,0,2.9,9,1.28668393770792
"541",56,2,3,4,3,2,3,3,2,4,2,2.8,10,0.788810637746616
"542",57,2,4,2,1,1,2,1,2,1,0,1.6,10,1.07496769977314
"543",58,3,2,3,0,4,1,2,4,1,0,2,10,1.49071198499986
"544",59,4,4,4,4,4,0,4,4,4,4,3.6,10,1.26491106406735
"545",60,0,1,0,1,0,1,0,3,4,0,1,10,1.4142135623731
