"","user_id","seleccio.1","seleccio.2","seleccio.3","seleccio.4","seleccio.5","seleccio.6","seleccio.7","seleccio.8","seleccio.9","seleccio.10","mean_contr","partida","SD"
"1",1,4,3,4,3,2,2,4,3,3,0,2.8,1,1.22927259430572
"2",2,3,4,4,3,4,4,0,0,0,4,2.6,1,1.83787316694536
"3",3,4,4,4,0,0,0,0,0,0,0,1.2,1,1.93218356615859
"4",6,2,1,4,3,2,4,4,1,1,2,2.4,1,1.26491106406735
"5",7,2,4,2,1,1,2,1,0,1,0,1.4,1,1.17378779077727
"6",8,3,4,3,2,4,3,4,3,1,0,2.7,1,1.33749350984926
"181",20,1,2,3,2,2,2,3,1,2,2,2,4,0.666666666666667
"182",21,2,2,3,1,4,2,4,3,0,2,2.3,4,1.25166555703457
"183",22,2,4,3,2,1,1,2,1,4,3,2.3,4,1.15950180872841
"184",23,2,3,4,0,1,3,0,0,1,0,1.4,4,1.50554530541816
"185",24,2,3,1,1,3,2,1,0,2,2,1.7,4,0.948683298050514
"186",25,2,4,3,3,2,2,4,1,3,3,2.7,4,0.948683298050514
"301",31,2,3,4,1,3,1,1,0,1,1,1.7,6,1.25166555703457
"302",33,1,2,1,3,1,0,2,2,4,3,1.9,6,1.19721899973786
"303",34,1,2,4,4,0,1,2,3,1,1,1.9,6,1.3703203194063
"304",35,2,4,1,3,3,4,2,3,1,0,2.3,6,1.33749350984926
"305",37,3,3,2,2,2,2,2,0,2,1,1.9,6,0.875595035770913
"306",39,4,2,4,1,4,3,2,4,1,0,2.5,6,1.50923085635624
"361",36,2,3,4,2,3,1,1,2,4,0,2.2,7,1.31656117720877
"362",38,2,3,4,4,4,4,3,2,2,1,2.9,7,1.10050493461461
"363",40,0,1,0,1,0,0,3,2,0,0,0.7,7,1.05934990547138
"364",41,2,3,2,3,3,2,2,3,2,1,2.3,7,0.674948557710553
"365",42,4,4,2,3,2,3,2,1,2,0,2.3,7,1.25166555703457
"366",43,3,2,2,2,1,0,3,3,2,0,1.8,7,1.13529242439509
"481",50,2,2,1,1,0,1,2,2,2,0,1.3,9,0.823272602348565
"482",51,4,4,4,4,4,4,0,0,0,4,2.8,9,1.93218356615859
"483",52,2,3,1,2,1,2,0,1,2,3,1.7,9,0.948683298050514
"484",53,2,2,3,4,3,2,3,4,2,0,2.5,9,1.17851130197758
"485",54,4,3,2,0,4,4,0,0,0,0,1.7,9,1.88856206322871
"486",55,4,3,3,3,4,4,4,2,2,0,2.9,9,1.28668393770792
"601",61,3,2,2,1,2,3,0,3,1,0,1.7,11,1.15950180872841
"602",63,2,2,2,2,2,2,2,1,0,0,1.5,11,0.849836585598797
"603",64,2,4,2,3,1,2,1,4,0,0,1.9,11,1.44913767461894
"604",65,2,3,2,4,2,2,3,2,1,0,2.1,11,1.10050493461461
"605",66,2,3,4,3,3,2,2,1,0,0,2,11,1.33333333333333
"606",67,2,3,4,3,4,3,4,4,3,1,3.1,11,0.994428926011753
"721",74,2,3,4,4,2,3,1,0,0,1,2,13,1.49071198499986
"722",75,4,4,4,4,4,0,0,0,0,0,2,13,2.10818510677892
"723",76,3,4,2,3,3,0,0,0,0,0,1.5,13,1.64991582276861
"724",77,2,2,4,4,3,4,4,2,4,4,3.3,13,0.948683298050514
"725",78,4,4,2,3,4,3,2,0,0,0,2.2,13,1.68654808542314
"726",79,2,4,3,4,2,3,1,0,0,0,1.9,13,1.59513148186739
"841",84,4,4,2,3,4,3,1,1,2,0,2.4,15,1.42984070596848
"842",86,1,4,3,2,2,2,3,4,4,4,2.9,15,1.10050493461461
"843",89,4,4,4,0,0,2,0,0,1,1,1.6,15,1.7763883459299
"844",90,3,2,3,2,3,4,3,3,0,0,2.3,15,1.33749350984926
"845",91,0,2,3,1,1,0,0,1,3,0,1.1,15,1.19721899973786
"846",93,2,3,3,0,4,2,2,2,1,0,1.9,15,1.28668393770792
"961",98,4,2,0,0,0,0,0,0,0,0,0.6,17,1.34989711542111
"962",99,4,4,2,2,3,4,4,2,4,2,3.1,17,0.994428926011753
"963",100,4,2,4,2,3,0,4,2,4,0,2.5,17,1.58113883008419
"964",101,2,2,3,1,2,3,3,2,2,0,2,17,0.942809041582063
"965",102,2,3,2,2,3,2,4,2,3,2,2.5,17,0.707106781186548
"966",104,3,2,4,3,2,1,3,2,0,0,2,17,1.33333333333333
"1081",110,2,2,2,2,1,1,0,0,0,0,1,19,0.942809041582063
"1082",111,3,3,4,4,4,2,0,0,0,0,2,19,1.82574185835055
"1083",112,3,4,3,2,2,4,1,0,1,0,2,19,1.49071198499986
"1084",113,2,4,3,4,2,1,1,0,1,0,1.8,19,1.47572957474524
"1085",114,3,4,3,4,3,4,2,2,4,0,2.9,19,1.28668393770792
