"","user_id","nickname","codi_postal","genere","rang_edat","nivell_estudis","prfinal0","prfinal1","prfinal2","prfinal3","prfinal4","prfinal5","prfinal6","prfinal7","prfinal8","prfinal9","prfinal10","prfinal11","prfinal12","prfinal13","data_creacio","data_finalitzacio","acabat","data_registre","diners_inicials","diners_actuals","check_1","check_2","check_3","partida_id","is_robot","num_jugador","prfinal14","prfinal15","guany_final","num_seleccions","sorteig"
"1",1,"Nitahorse",8203,"d",28,"r4",NA,"r1","r1","r4","r2","r2","r1","r1","r1","r2","r2","r4","r3","r2","2015-12-12 10:54:56.666328","2015-12-12 11:24:25.525823",1,"2015-12-12 11:12:07.887762",40,12,"true","false","false",1,0,3,"r3","r2",12,10,1
"2",2,"Max demoran",8028,"h",45,"r4",NA,"r1","r1","r1","r2","r3","r1","r1","r2","r2","r2","r3","r1","r2","2015-12-12 11:10:35.919172","2015-12-12 11:24:11.351686",1,"2015-12-12 11:12:41.668566",40,14,"true","false","false",1,0,6,"r2","r2",14,10,1
"3",3,"Ellas",8027,"h",15,"r2",NA,"r1","r1","r2","r3","r1","r1","r2","r1","r1","r2","r3","r3","r2","2015-12-12 11:10:39.550620","2015-12-12 11:24:03.732214",1,"2015-12-12 11:12:32.724448",40,28,"true","false","false",1,0,2,"r4","r4",28,10,1
"4",6,"Pato",8027,"d",14,"r2",NA,"r1","r2","r2","r3","r3","r1","r3","r1","r2","r2","r3","r3","r3","2015-12-12 11:12:04.799270","2015-12-12 11:23:39.378448",1,"2015-12-12 11:14:50.121337",40,16,"true","false","false",1,0,1,"r1","r3",16,10,1
"5",7,"Carbu ",8016,"h",14,"r2",NA,"r1","r2","r2","r3","r3","r1","r2","r1","r1","r2","r3","r3","r1","2015-12-12 11:12:09.856312","2015-12-12 11:24:57.727324",1,"2015-12-12 11:14:57.016030",40,26,"true","false","false",1,0,4,"r3","r4",26,10,1
"6",8,"Júlia",8041,"d",16,"r4",NA,"r1","r3","r1","r3","r3","r1","r1","r1","r2","r2","r3","r3","r2","2015-12-12 11:12:10.120276","2015-12-12 11:23:19.476899",1,"2015-12-12 11:13:46.605264",40,13,"true","false","false",1,0,5,"r2","r3",13,10,1
"11",20,"Lionel",8027,"h",23,"r4",NA,"r1","r1","r2","r3","r3","r1","r1","r1","r1","r2","r3","r3","r2","2015-12-12 11:23:03.875131","2015-12-12 11:51:35.411954",1,"2015-12-12 11:26:37.676412",40,20,"true","false","false",4,0,6,"r3","r1",20,10,1
"12",21,"Deiv82",8030,"h",33,"r6",NA,"r1","r1","r2","r2","r2","r1","r1","r1","r3","r2","r3","r3","r2","2015-12-12 11:25:56.898479","2015-12-12 11:48:28.851632",1,"2015-12-12 11:32:05.633401",40,17,"true","false","false",4,0,2,"r3","r2",17,10,1
"13",22,"Taniarole",8042,"h",33,"r6",NA,"r3","r1","r2","r2","r2","r1","r1","r2","r2","r2","r1","r3","r2","2015-12-12 11:27:45.241263","2015-12-12 11:50:31.608653",1,"2015-12-12 11:32:40.958812",40,17,"true","false","false",4,0,3,"r1","r4",17,10,1
"14",23,"mfazarias14",8027,"h",15,"r3",NA,"r1","r1","r4","r3","r3","r1","r1","r1","r1","r2","r3","r3","r2","2015-12-12 11:34:44.153726","2015-12-12 11:50:00.631378",1,"2015-12-12 11:36:48.425861",40,26,"true","false","false",4,0,1,"r2","r4",26,10,1
"15",24,"Muy",8402,"h",33,"r5",NA,"r3","r1","r2","r1","r3","r1","r1","r1","r2","r1","r1","r3","r2","2015-12-12 11:37:39.826950","2015-12-12 11:51:23.998296",1,"2015-12-12 11:41:17.742734",40,23,"true","false","false",4,0,5,"r1","r3",23,10,1
"16",25,"Psicóloga",8600,"d",22,"r6",NA,"r1","r2","r1","r3","r3","r1","r3","r1","r1","r2","r3","r3","r1","2015-12-12 11:37:58.523116","2015-12-12 11:48:14.636080",1,"2015-12-12 11:40:04.080566",40,13,"true","false","false",4,0,4,"r2","r2",13,10,1
"19",31,"Patufeta",8550,"d",50,"r3",NA,"r1","r1","r2","r3","r2","r3","r1","r1","r2","r2","r4","r3","r2","2015-12-12 11:45:56.041989","2015-12-12 12:13:53.998246",1,"2015-12-12 11:53:31.540318",40,23,"true","false","false",6,0,5,"r4","r1",23,10,1
"20",33,"Julia_14",8550,"d",14,"r3",NA,"r1","r2","r2","r2","r2","r3","r1","r3","r1","r2","r4","r3","r4","2015-12-12 11:48:25.721385","2015-12-12 12:15:30.319610",1,"2015-12-12 11:53:33.878931",40,21,"true","false","false",6,0,4,"r4","r3",21,10,1
"21",34,"Casta ya",8512,"d",30,"r6",NA,"r1","r2","r2","r1","r1","r1","r2","r1","r2","r2","r3","r3","r2","2015-12-12 11:57:50.783664","2015-12-12 12:12:28.176448",1,"2015-12-12 12:01:24.607294",40,21,"true","false","true",6,0,1,"r3","r3",21,10,1
"22",35,"Rocío moja",8512,"h",37,"r6",NA,"r1","r1","r1","r3","r3","r1","r1","r2","r1","r2","r3","r3","r2","2015-12-12 11:58:06.876513","2015-12-12 12:11:40.628597",1,"2015-12-12 12:01:27.934363",40,17,"true","false","false",6,0,3,"r3","r3",17,10,1
"23",36,"Sara_delValle",43480,"d",23,"r6",NA,"r1","r1","r2","r2","r2","r1","r1","r1","r3","r2","r3","r3","r4","2015-12-12 12:00:07.074886","2015-12-12 12:16:39.910183",1,"2015-12-12 12:05:59.749166",40,18,"true","false","false",7,0,2,"r3","r3",18,10,1
"24",37,"Rayack",43480,"h",26,"r6",NA,"r1","r1","r2","r3","r3","r2","r1","r2","r1","r2","r3","r3","r1","2015-12-12 12:00:08.891776","2015-12-12 12:12:03.859798",1,"2015-12-12 12:03:51.060479",40,21,"true","false","false",6,0,2,"r3","r2",21,10,1
