"","id","num_ronda","bucket_inici_ronda","bucket_final_ronda","temps_inici_ronda","temps_final_ronda","partida_id","calculada"
"1",1,1,120,108,"2015-12-22 10:26:00","2015-12-22 10:26:05",1,1
"2",2,2,108,92,"2015-12-22 10:26:20","2015-12-22 10:26:26",1,1
"3",3,3,92,78,"2015-12-22 10:26:41","2015-12-22 10:27:11",1,1
"4",4,4,78,66,"2015-12-22 10:27:26","2015-12-22 10:27:31",1,1
"5",5,5,66,58,"2015-12-22 10:27:46","2015-12-22 10:27:52",1,1
"6",6,6,58,46,"2015-12-22 10:28:07","2015-12-22 10:28:15",1,1
"7",7,7,46,34,"2015-12-22 10:28:30","2015-12-22 10:28:52",1,1
"8",8,8,34,20,"2015-12-22 10:29:07","2015-12-22 10:29:13",1,1
"9",9,9,20,10,"2015-12-22 10:29:28","2015-12-22 10:29:37",1,1
"10",10,10,10,-2,"2015-12-22 10:29:52","2015-12-22 10:30:06",1,1
"11",11,1,120,104,"2015-12-22 12:47:58","2015-12-22 12:48:08",2,1
"12",12,2,104,84,"2015-12-22 12:48:23","2015-12-22 12:48:32",2,1
"13",13,3,84,68,"2015-12-22 12:48:47","2015-12-22 12:48:55",2,1
"14",14,4,68,50,"2015-12-22 12:49:10","2015-12-22 12:49:17",2,1
"15",15,5,50,34,"2015-12-22 12:49:32","2015-12-22 12:49:37",2,1
"16",16,6,34,18,"2015-12-22 12:49:52","2015-12-22 12:49:59",2,1
"17",17,7,18,6,"2015-12-22 12:50:14","2015-12-22 12:50:19",2,1
"18",18,8,6,-2,"2015-12-22 12:50:34","2015-12-22 12:50:39",2,1
"19",21,1,120,108,"2015-12-22 13:34:19","2015-12-22 13:34:38",3,1
"20",22,2,108,92,"2015-12-22 13:34:53","2015-12-22 13:35:15",3,1
"21",23,3,92,80,"2015-12-22 13:35:30","2015-12-22 13:35:39",3,1
"22",24,4,80,62,"2015-12-22 13:35:54","2015-12-22 13:36:17",3,1
"23",25,5,62,48,"2015-12-22 13:36:32","2015-12-22 13:36:40",3,1
"24",26,6,48,42,"2015-12-22 13:36:55","2015-12-22 13:37:10",3,1
"25",27,7,42,30,"2015-12-22 13:37:25","2015-12-22 13:37:38",3,1
"26",28,8,30,20,"2015-12-22 13:37:53","2015-12-22 13:38:02",3,1
"27",29,9,20,8,"2015-12-22 13:38:17","2015-12-22 13:38:33",3,1
"28",30,10,8,2,"2015-12-22 13:38:48","2015-12-22 13:39:04",3,1
"29",31,1,120,108,"2015-12-22 14:00:28","2015-12-22 14:00:41",4,1
"30",32,2,108,98,"2015-12-22 14:00:56","2015-12-22 14:01:09",4,1
"31",33,3,98,88,"2015-12-22 14:01:24","2015-12-22 14:01:35",4,1
"32",34,4,88,66,"2015-12-22 14:01:50","2015-12-22 14:02:00",4,1
"33",35,5,66,58,"2015-12-22 14:02:15","2015-12-22 14:02:22",4,1
"34",36,6,58,50,"2015-12-22 14:02:37","2015-12-22 14:02:42",4,1
"35",37,7,50,36,"2015-12-22 14:02:57","2015-12-22 14:03:06",4,1
"36",38,8,36,26,"2015-12-22 14:03:21","2015-12-22 14:03:31",4,1
"37",39,9,26,10,"2015-12-22 14:03:46","2015-12-22 14:03:52",4,1
"38",40,10,10,-2,"2015-12-22 14:04:07","2015-12-22 14:04:11",4,1
"39",41,1,120,108,"2015-12-22 14:19:28","2015-12-22 14:19:41",5,1
"40",42,2,108,94,"2015-12-22 14:19:56","2015-12-22 14:20:07",5,1
"41",43,3,94,84,"2015-12-22 14:20:22","2015-12-22 14:20:28",5,1
"42",44,4,84,78,"2015-12-22 14:20:43","2015-12-22 14:20:51",5,1
"43",45,5,78,62,"2015-12-22 14:21:06","2015-12-22 14:21:13",5,1
"44",46,6,62,42,"2015-12-22 14:21:28","2015-12-22 14:21:33",5,1
"45",47,7,42,22,"2015-12-22 14:21:48","2015-12-22 14:21:55",5,1
"46",48,8,22,8,"2015-12-22 14:22:10","2015-12-22 14:22:16",5,1
"47",49,9,8,0,"2015-12-22 14:22:31","2015-12-22 14:22:50",5,1
"48",51,1,120,110,"2015-12-22 14:39:04","2015-12-22 14:39:14",6,1
"49",52,2,110,102,"2015-12-22 14:39:29","2015-12-22 14:39:37",6,1
"50",53,3,102,86,"2015-12-22 14:39:52","2015-12-22 14:39:59",6,1
"51",54,4,86,74,"2015-12-22 14:40:14","2015-12-22 14:40:21",6,1
"52",55,5,74,64,"2015-12-22 14:40:36","2015-12-22 14:40:42",6,1
"53",56,6,64,54,"2015-12-22 14:40:57","2015-12-22 14:41:05",6,1
"54",57,7,54,36,"2015-12-22 14:41:20","2015-12-22 14:41:28",6,1
"55",58,8,36,28,"2015-12-22 14:41:43","2015-12-22 14:41:58",6,1
"56",59,9,28,14,"2015-12-22 14:42:13","2015-12-22 14:42:21",6,1
"57",60,10,14,-4,"2015-12-22 14:42:36","2015-12-22 14:42:42",6,1
"58",61,1,120,108,"2015-12-22 15:01:37","2015-12-22 15:01:46",7,1
"59",62,2,108,92,"2015-12-22 15:02:01","2015-12-22 15:02:14",7,1
"60",63,3,92,78,"2015-12-22 15:02:29","2015-12-22 15:02:53",7,1
"61",64,4,78,54,"2015-12-22 15:03:08","2015-12-22 15:03:33",7,1
"62",65,5,54,38,"2015-12-22 15:03:48","2015-12-22 15:04:03",7,1
"63",66,6,38,20,"2015-12-22 15:04:18","2015-12-22 15:04:33",7,1
"64",67,7,20,8,"2015-12-22 15:04:48","2015-12-22 15:04:54",7,1
"65",68,8,8,2,"2015-12-22 15:05:09","2015-12-22 15:05:20",7,1
"66",69,9,2,-10,"2015-12-22 15:05:35","2015-12-22 15:05:50",7,1
"67",71,1,120,104,"2015-12-22 15:42:27","2015-12-22 15:42:38",8,1
"68",72,2,104,86,"2015-12-22 15:42:53","2015-12-22 15:43:08",8,1
"69",73,3,86,68,"2015-12-22 15:43:23","2015-12-22 15:43:30",8,1
"70",74,4,68,50,"2015-12-22 15:43:45","2015-12-22 15:43:52",8,1
"71",75,5,50,34,"2015-12-22 15:44:07","2015-12-22 15:44:16",8,1
"72",76,6,34,20,"2015-12-22 15:44:31","2015-12-22 15:44:39",8,1
"73",77,7,20,8,"2015-12-22 15:44:54","2015-12-22 15:45:01",8,1
"74",78,8,8,4,"2015-12-22 15:45:16","2015-12-22 15:45:25",8,1
"75",79,9,4,-4,"2015-12-22 15:45:40","2015-12-22 15:45:53",8,1
"76",81,1,120,104,"2015-12-22 16:18:37","2015-12-22 16:18:53",9,1
"77",82,2,104,92,"2015-12-22 16:19:08","2015-12-22 16:19:20",9,1
"78",83,3,92,80,"2015-12-22 16:19:35","2015-12-22 16:19:46",9,1
"79",84,4,80,68,"2015-12-22 16:20:01","2015-12-22 16:20:19",9,1
"80",85,5,68,54,"2015-12-22 16:20:34","2015-12-22 16:20:51",9,1
"81",86,6,54,44,"2015-12-22 16:21:06","2015-12-22 16:21:16",9,1
"82",87,7,44,26,"2015-12-22 16:21:31","2015-12-22 16:21:50",9,1
"83",88,8,26,20,"2015-12-22 16:22:05","2015-12-22 16:22:12",9,1
"84",89,9,20,6,"2015-12-22 16:22:27","2015-12-22 16:22:32",9,1
"85",90,10,6,-14,"2015-12-22 16:22:47","2015-12-22 16:23:01",9,1
"86",91,1,120,104,"2015-12-22 16:51:45","2015-12-22 16:51:54",10,1
"87",92,2,104,90,"2015-12-22 16:52:09","2015-12-22 16:52:16",10,1
"88",93,3,90,74,"2015-12-22 16:52:31","2015-12-22 16:52:38",10,1
"89",94,4,74,54,"2015-12-22 16:52:53","2015-12-22 16:53:02",10,1
"90",95,5,54,36,"2015-12-22 16:53:17","2015-12-22 16:53:30",10,1
"91",96,6,36,22,"2015-12-22 16:53:45","2015-12-22 16:53:54",10,1
"92",97,7,22,8,"2015-12-22 16:54:09","2015-12-22 16:54:15",10,1
"93",98,8,8,-2,"2015-12-22 16:54:30","2015-12-22 16:54:35",10,1
"94",101,1,120,106,"2015-12-22 17:11:14","2015-12-22 17:11:27",11,1
"95",102,2,106,90,"2015-12-22 17:11:42","2015-12-22 17:11:54",11,1
"96",103,3,90,78,"2015-12-22 17:12:09","2015-12-22 17:12:22",11,1
"97",104,4,78,66,"2015-12-22 17:12:37","2015-12-22 17:12:46",11,1
"98",105,5,66,54,"2015-12-22 17:13:01","2015-12-22 17:13:11",11,1
"99",106,6,54,40,"2015-12-22 17:13:26","2015-12-22 17:13:39",11,1
"100",107,7,40,22,"2015-12-22 17:13:54","2015-12-22 17:14:05",11,1
"101",108,8,22,4,"2015-12-22 17:14:20","2015-12-22 17:14:39",11,1
"102",109,9,4,-8,"2015-12-22 17:14:54","2015-12-22 17:15:02",11,1
"103",111,1,120,116,"2015-12-23 14:37:34","2015-12-23 14:37:40",12,1
"104",112,2,116,102,"2015-12-23 14:37:55","2015-12-23 14:38:05",12,1
"105",113,3,102,88,"2015-12-23 14:38:20","2015-12-23 14:38:29",12,1
"106",114,4,88,84,"2015-12-23 14:38:44","2015-12-23 14:38:51",12,1
"107",115,5,84,64,"2015-12-23 14:39:06","2015-12-23 14:39:14",12,1
"108",116,6,64,48,"2015-12-23 14:39:29","2015-12-23 14:39:37",12,1
"109",117,7,48,34,"2015-12-23 14:39:52","2015-12-23 14:39:58",12,1
"110",118,8,34,30,"2015-12-23 14:40:13","2015-12-23 14:40:19",12,1
"111",119,9,30,30,"2015-12-23 14:40:34","2015-12-23 14:40:40",12,1
"112",120,10,30,22,"2015-12-23 14:40:55","2015-12-23 14:41:04",12,1
"113",121,1,120,110,"2015-12-23 16:19:22","2015-12-23 16:19:39",13,1
"114",122,2,110,98,"2015-12-23 16:19:54","2015-12-23 16:20:03",13,1
"115",123,3,98,86,"2015-12-23 16:20:18","2015-12-23 16:20:48",13,1
"116",124,4,86,72,"2015-12-23 16:21:03","2015-12-23 16:21:33",13,1
"117",125,5,72,59,"2015-12-23 16:21:48","2015-12-23 16:22:18",13,1
"118",126,6,59,43,"2015-12-23 16:22:33","2015-12-23 16:23:03",13,1
"119",127,7,43,27,"2015-12-23 16:23:18","2015-12-23 16:23:48",13,1
"120",128,8,27,9,"2015-12-23 16:24:03","2015-12-23 16:24:33",13,1
"121",129,9,9,-5,"2015-12-23 16:24:48","2015-12-23 16:25:18",13,1
"122",131,1,120,108,"2015-12-23 16:45:23","2015-12-23 16:45:35",14,1
"123",132,2,108,98,"2015-12-23 16:45:50","2015-12-23 16:46:02",14,1
"124",133,3,98,86,"2015-12-23 16:46:17","2015-12-23 16:46:23",14,1
"125",134,4,86,74,"2015-12-23 16:46:38","2015-12-23 16:46:47",14,1
"126",135,5,74,62,"2015-12-23 16:47:02","2015-12-23 16:47:08",14,1
"127",136,6,62,50,"2015-12-23 16:47:23","2015-12-23 16:47:28",14,1
"128",137,7,50,38,"2015-12-23 16:47:43","2015-12-23 16:47:49",14,1
"129",138,8,38,24,"2015-12-23 16:48:04","2015-12-23 16:48:17",14,1
"130",139,9,24,10,"2015-12-23 16:48:32","2015-12-23 16:48:51",14,1
"131",140,10,10,2,"2015-12-23 16:49:06","2015-12-23 16:49:12",14,1
"132",141,1,120,102,"2015-12-23 17:15:02","2015-12-23 17:15:32",15,1
"133",142,2,102,82,"2015-12-23 17:15:47","2015-12-23 17:15:56",15,1
"134",143,3,82,64,"2015-12-23 17:16:11","2015-12-23 17:16:22",15,1
"135",144,4,64,44,"2015-12-23 17:16:37","2015-12-23 17:16:49",15,1
"136",145,5,44,24,"2015-12-23 17:17:04","2015-12-23 17:17:18",15,1
"137",146,6,24,8,"2015-12-23 17:17:33","2015-12-23 17:17:39",15,1
"138",147,7,8,-10,"2015-12-23 17:17:54","2015-12-23 17:17:59",15,1
"139",151,1,120,102,"2015-12-23 18:09:02","2015-12-23 18:09:14",17,1
"140",152,2,102,82,"2015-12-23 18:09:29","2015-12-23 18:09:43",17,1
