"","num_ronda","partida_id","bucket"
"1",1,1,12
"2",2,1,16
"3",3,1,14
"4",4,1,12
"5",5,1,8
"6",6,1,12
"7",7,1,12
"8",8,1,14
"9",9,1,10
"10",10,1,12
"11",1,2,16
"12",2,2,20
"13",3,2,16
"14",4,2,18
"15",5,2,16
"16",6,2,16
"17",7,2,12
"18",8,2,8
"19",9,2,0
"20",10,2,4
"21",1,3,12
"22",2,3,16
"23",3,3,12
"24",4,3,18
"25",5,3,14
"26",6,3,6
"27",7,3,12
"28",8,3,10
"29",9,3,12
"30",10,3,6
"31",1,4,12
"32",2,4,10
"33",3,4,10
"34",4,4,22
"35",5,4,8
"36",6,4,8
"37",7,4,14
"38",8,4,10
"39",9,4,16
"40",10,4,12
"41",1,5,12
"42",2,5,14
"43",3,5,10
"44",4,5,6
"45",5,5,16
"46",6,5,20
"47",7,5,20
"48",8,5,14
"49",9,5,8
"50",10,5,2
"51",1,6,10
"52",2,6,8
"53",3,6,16
"54",4,6,12
"55",5,6,10
"56",6,6,10
"57",7,6,18
"58",8,6,8
"59",9,6,14
"60",10,6,18
"61",1,7,12
"62",2,7,16
"63",3,7,14
"64",4,7,24
"65",5,7,16
"66",6,7,18
"67",7,7,12
"68",8,7,6
"69",9,7,12
"70",10,7,4
"71",1,8,16
"72",2,8,18
"73",3,8,18
"74",4,8,18
"75",5,8,16
"76",6,8,14
"77",7,8,12
"78",8,8,4
"79",9,8,8
"80",10,8,8
"81",1,9,16
"82",2,9,12
"83",3,9,12
"84",4,9,12
"85",5,9,14
"86",6,9,10
"87",7,9,18
"88",8,9,6
"89",9,9,14
"90",10,9,20
"91",1,10,16
"92",2,10,14
"93",3,10,16
"94",4,10,20
"95",5,10,18
"96",6,10,14
"97",7,10,14
"98",8,10,10
"99",9,10,0
"100",10,10,0
"101",1,11,14
"102",2,11,16
"103",3,11,12
"104",4,11,12
"105",5,11,12
"106",6,11,14
"107",7,11,18
"108",8,11,18
"109",9,11,12
"110",10,11,10
"111",1,12,4
"112",2,12,14
"113",3,12,14
"114",4,12,4
"115",5,12,20
"116",6,12,16
"117",7,12,14
"118",8,12,4
"119",9,12,0
"120",10,12,8
"121",1,13,10
"122",2,13,12
"123",3,13,12
"124",4,13,14
"125",5,13,13
"126",6,13,16
"127",7,13,16
"128",8,13,18
"129",9,13,14
"130",10,13,6
"131",1,14,12
"132",2,14,10
"133",3,14,12
"134",4,14,12
"135",5,14,12
"136",6,14,12
"137",7,14,12
"138",8,14,14
"139",9,14,14
"140",10,14,8
"141",1,15,18
"142",2,15,20
"143",3,15,18
"144",4,15,20
"145",5,15,20
"146",6,15,16
"147",7,15,18
"148",8,15,10
"149",9,15,12
"150",10,15,12
"151",1,17,18
"152",2,17,20
"153",3,17,20
"154",4,17,16
"155",5,17,18
"156",6,17,12
"157",7,17,10
"158",8,17,8
"159",9,17,0
"160",10,17,0
"161",1,18,16
"162",2,18,16
"163",3,18,10
"164",4,18,12
"165",5,18,18
"166",6,18,16
"167",7,18,18
"168",8,18,10
"169",9,18,6
"170",10,18,2
"171",1,19,16
"172",2,19,14
"173",3,19,20
"174",4,19,18
"175",5,19,20
"176",6,19,18
"177",7,19,14
"178",8,19,4
"179",9,19,4
"180",10,19,8
